source,target,relations_x,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations_y,compare
CLARIAS,GARIEPINUS,PARENT-CHILD,5.0,13.51,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLINOSTOMUS,FUNDULOIDES,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CLUPEA,HARENGUS,PARENT-CHILD,6.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTYLOPUS,ACUTIPINNIS,PARENT-CHILD,6.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COUESIUS,PLUMBEUS,PARENT-CHILD,5.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
DICENTRARCHUS,LABRAX,PARENT-CHILD,4.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
DOROSOMA,CEPEDIANUM,PARENT-CHILD,17.0,13.72,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
EGRETTA,GARZETTA,PARENT-CHILD,3.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GADUS,MORHUA,PARENT-CHILD,30.0,13.97,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GASTEROSTEUS,ACULEATUS,PARENT-CHILD,99.0,13.94,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GILA,ROBUSTA,PARENT-CHILD,7.0,13.64,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GLOSSOGOBIUS,AUREUS,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIOMORPHUS,COTIDIANUS,PARENT-CHILD,12.0,13.72,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIOMORUS,DORMITOR,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
GYMNOCEPHALUS,CERNUUS,PARENT-CHILD,46.0,13.79,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEMIGRAMMUS,ERYTHROZONUS,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEPHAESTUS,FULIGINOSUS,PARENT-CHILD,4.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEPSETUS,ODOE,PARENT-CHILD,5.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYDROCYNUS,VITTATUS,PARENT-CHILD,9.0,13.77,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPOPHTHALMICHTHYS,MOLITRIX,PARENT-CHILD,4.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTALURUS,PUNCTATUS,PARENT-CHILD,22.0,13.87,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTIOBUS,BUBALUS,PARENT-CHILD,2.0,13.67,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAVINIA,EXILICAUDA,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LENTIPES,CONCOLOR,PARENT-CHILD,8.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEPTOCOTTUS,ARMATUS,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LETHENTERON,REISSNERI,PARENT-CHILD,6.0,13.58,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LEUCASPIUS,DELINEATUS,PARENT-CHILD,6.0,13.88,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LIMANDA,LIMANDA,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LUTJANUS,GRISEUS,PARENT-CHILD,3.0,13.77,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
LUTRA,LUTRA,PARENT-CHILD,12.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACCULLOCHELLA,PEELII,PARENT-CHILD,17.0,13.83,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MACRHYBOPSIS,MEEKI,PARENT-CHILD,3.0,13.58,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MALLOTUS,VILLOSUS,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MARGARISCUS,MARGARITA,PARENT-CHILD,3.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MENIDIA,MENIDIA,PARENT-CHILD,9.0,13.64,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MERLUCCIUS,MERLUCCIUS,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MICROPTERUS,DOLOMIEU,PARENT-CHILD,36.0,13.77,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MISGURNUS,ANGUILLICAUDATUS,PARENT-CHILD,14.0,13.85,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MORONE,SAXATILIS,PARENT-CHILD,21.0,13.86,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MUS,MUSCULUS,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MUSTELA,VISON,PARENT-CHILD,5.0,13.86,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MYLOCHEILUS,CAURINUS,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
MYOXOCEPHALUS,THOMPSONII,PARENT-CHILD,4.0,13.67,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
NEOCHANNA,DIVERSUS,PARENT-CHILD,3.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
NEOGOBIUS,MELANOSTOMUS,PARENT-CHILD,67.0,13.84,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
NEOLAMPROLOGUS,PULCHER,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
NOTEMIGONUS,CRYSOLEUCAS,PARENT-CHILD,3.0,13.77,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
OLIGOSARCUS,HEPSETUS,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
ORYZIAS,SINENSIS,CHILD-PARENT,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
OSMERUS,EPERLANUS,PARENT-CHILD,20.0,13.51,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PERCA,FLUVIATILIS,PARENT-CHILD,230.0,13.66,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PERCICHTHYS,TRUCHA,PARENT-CHILD,2.0,13.67,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PETROMYZON,MARINUS,PARENT-CHILD,30.0,13.91,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PHOXINUS,PHOXINUS,PARENT-CHILD,51.0,13.85,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PLATICHTHYS,FLESUS,PARENT-CHILD,4.0,13.83,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PLECOGLOSSUS,ALTIVELIS,CHILD-PARENT,14.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PLEURONECTES,PLATESSA,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PODICEPS,CRISTATUS,PARENT-CHILD,3.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
POECILIA,RETICULATA,PARENT-CHILD,22.0,13.67,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
POMATOSCHISTUS,MINUTUS,PARENT-CHILD,6.0,13.88,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
POTAMORHINA,ALTAMAZONICA,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PROCHILODUS,LINEATUS,PARENT-CHILD,14.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PROSOPIUM,WILLIAMSONI,PARENT-CHILD,10.0,13.86,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PROTERORHINUS,SEMILUNARIS,PARENT-CHILD,7.0,13.64,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PROTOGOBIUS,ATTITI,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PSEUDOGOBIUS,OLORUM,PARENT-CHILD,6.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PSEUDORASBORA,PARVA,PARENT-CHILD,27.0,13.97,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PTERODORAS,GRANULOSUS,CHILD-PARENT,13.0,13.94,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PUNGITIUS,PUNGITIUS,PARENT-CHILD,41.0,13.86,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PYGOCENTRUS,NATTERERI,PARENT-CHILD,3.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
PYLODICTIS,OLIVARIS,PARENT-CHILD,7.0,13.72,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
RHAMDIA,QUELEN,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
RHINICHTHYS,CATARACTAE,PARENT-CHILD,15.0,13.51,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
RHODEUS,SERICEUS,PARENT-CHILD,23.0,13.61,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
RICHARDSONIUS,BALTEATUS,PARENT-CHILD,12.0,13.88,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
RUTILUS,RUTILUS,PARENT-CHILD,199.0,13.94,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
SALVELINUS,ALPINUS,PARENT-CHILD,485.0,13.51,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
SCARDINIUS,ERYTHROPHTHALMUS,PARENT-CHILD,29.0,13.72,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
SCELOPORUS,UNDULATUS,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
SEBASTES,FLAVIDUS,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
SEMOTILUS,ATROMACULATUS,PARENT-CHILD,21.0,13.96,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
SERRANUS,SCRIBA,PARENT-CHILD,2.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
SICYDIUM,PUNCTATUM,PARENT-CHILD,16.0,13.67,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
SICYOPTERUS,LAGOCEPHALUS,PARENT-CHILD,57.0,13.65,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
SOLEA,SOLEA,PARENT-CHILD,6.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
SPARUS,AURATA,CHILD-PARENT,4.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
STENODUS,LEUCICHTHYS,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
STENOGOBIUS,GENIVITTATUS,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
STIPHODON,PERCNOPTERYGIONUS,PARENT-CHILD,4.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
SYNCOMISTES,BUTLERI,PARENT-CHILD,1.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
THALASSOMA,BIFASCIATUM,PARENT-CHILD,3.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
THYMALLUS,THYMALLUS,PARENT-CHILD,67.0,13.61,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
TINCA,TINCA,PARENT-CHILD,27.0,13.87,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
TRIDENTIGER,BREVISPINIS,PARENT-CHILD,4.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
UMBRA,LIMI,PARENT-CHILD,6.0,13.77,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
VIMBA,VIMBA,PARENT-CHILD,5.0,13.99,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
XYRAUCHEN,TEXANUS,PARENT-CHILD,9.0,13.71,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
