source,target,relations_x,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations_y,compare
COREGONUS,ARTEDI,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,CLUPEAFORMIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,HOYI,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,LAVARETUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,NASUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,PIDSCHIAN,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,SARDINELLA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COREGONUS,ZENITHICUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,BAIRDII,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,CAROLINAE,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,COGNATUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,GOBIO,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,HANGIONGENSIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTTUS,PAULUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COTYLOPUS,ACUTIPINNIS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
COUESIUS,PLUMBEUS,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CRATEROCEPHALUS,FLUVIATILIS,CHILD-PARENT,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
CYPRINELLA,CAERULEA,PARENT-CHILD,JEFF corpus, SPECIES, GENUS,VTO ontology,is_a,both
