TAXRANK_target,target,source,TAXRANK_source,relations_y,Hits,Score,data_source_y
,DIPTERA,CHIRONOMIDAE,,PARENT-CHILD,1.0,11.09,JEFF corpus
,MOLLUSCA,CHIRONOMIDAE,,PARENT-CHILD,1.0,11.99,JEFF corpus
,ODONATA,CHIRONOMIDAE,,PARENT-CHILD,2.0,12.19,JEFF corpus
,SIMULIIDAE,CHIRONOMIDAE,,PARENT-CHILD,1.0,11.67,JEFF corpus
,TRICHOPTERA,CHIRONOMIDAE,,PARENT-CHILD,1.0,10.35,JEFF corpus
,RIPARIUS,CHIRONOMUS,,PARENT-CHILD,1.0,13.99,JEFF corpus
,ALMACAI,CHONDROSTOMA,,PARENT-CHILD,1.0,9.87,JEFF corpus
,POLYLEPIS,CHONDROSTOMA,,PARENT-CHILD,5.0,12.07,JEFF corpus
,TOXOSTOMA,CHONDROSTOMA,,PARENT-CHILD,3.0,11.5,JEFF corpus
,WILLKOMMI,CHONDROSTOMA,,PARENT-CHILD,1.0,10.0,JEFF corpus
,ERYTHROGASTER,CHROSOMUS,,CHILD-PARENT,6.0,13.77,JEFF corpus
,NEOGAEUS,CHROSOMUS,,CHILD-PARENT,1.0,11.19,JEFF corpus
,ROTIFERA,CHYDORIDAE,,PARENT-CHILD,1.0,13.0,JEFF corpus
,FACETUM,CICHLIDAE,,PARENT-CHILD,1.0,12.19,JEFF corpus
,LORICARIIDAE,CICHLIDAE,,PARENT-CHILD,1.0,12.41,JEFF corpus
,MONODACTYLIDAE,CICHLIDAE,,PARENT-CHILD,1.0,12.41,JEFF corpus
,ESOX,CINERA,,CHILD-PARENT,1.0,11.99,JEFF corpus
,AURATUS,CIRRHINUS,,CHILD-PARENT,1.0,9.95,JEFF corpus
,AFFINIS,CLADOCERA,,PARENT-CHILD,1.0,9.27,JEFF corpus
,CHIRONOMIDAE,CLADOCERA,,PARENT-CHILD,1.0,11.41,JEFF corpus
,COPEPODA,CLADOCERA,,PARENT-CHILD,5.0,12.92,JEFF corpus
,DAPHNIA,CLADOCERA,,PARENT-CHILD,1.0,13.99,JEFF corpus
,OSTRACODA,CLADOCERA,,PARENT-CHILD,1.0,11.41,JEFF corpus
