TAXRANK_target,target,source,TAXRANK_source,relations_y,Hits,Score,data_source_y
,HAASI,TRUTTA,,CHILD-PARENT,1.0,10.41,JEFF corpus
,LINNAEUS,TRUTTA,,PARENT-CHILD,14.0,11.67,JEFF corpus
,LATIFOLIA,TYPHA,,PARENT-CHILD,1.0,13.41,JEFF corpus
,VULGARIS,UTRICULARIA,,CHILD-PARENT,1.0,12.68,JEFF corpus
,AMERICUNA,VALLISNERIA,,PARENT-CHILD,3.0,13.99,JEFF corpus
,CYPRINIFORMES,VENUSTA,,PARENT-CHILD,1.0,13.99,JEFF corpus
,BAY,VICTORIA,,PARENT-CHILD,1.0,12.41,JEFF corpus
,ISLAND,VICTORIA,,PARENT-CHILD,1.0,13.0,JEFF corpus
,NYEREREI,VICTORIA,,PARENT-CHILD,1.0,11.41,JEFF corpus
,ESOX,VISON,,PARENT-CHILD,1.0,11.99,JEFF corpus
,LUCIUS,VISON,,PARENT-CHILD,1.0,11.99,JEFF corpus
,HIODON,VITREUM,,PARENT-CHILD,1.0,11.99,JEFF corpus
,CANADENSIS,VITREUS,,PARENT-CHILD,1.0,10.82,JEFF corpus
,PERCINA,VOLUCELLUS,,PARENT-CHILD,1.0,11.99,JEFF corpus
,SULVELINUS,WATER,,CHILD-PARENT,1.0,11.67,JEFF corpus
,HYBOPSIS,WHIPPLEI,,PARENT-CHILD,1.0,13.0,JEFF corpus
,CALLITRICHE,ZANNICHELLIA,,CHILD-PARENT,1.0,13.99,JEFF corpus
