TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations_x,relations_y,Hits,Score,data_source_y,_merge
,MOLINA,AGRARIA,,,,CHILD-PARENT,1.0,13.99,JEFF corpus,right_only
,GLUTINOSA,ALNUS,,,,PARENT-CHILD,4.0,13.99,JEFF corpus,right_only
,RINELORICARIA,ANCISTRUS,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,FENNICA,ANNALES,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,NOBILIS,ARISTICHTHYS,,,,CHILD-PARENT,2.0,13.67,JEFF corpus,right_only
,REPRODUCTIVOS,ASPECTOS,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,ATHERINOPSIDAE,ATHERINIDAE,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,AFRICANA,AZOLLA,,,,CHILD-PARENT,1.0,13.99,JEFF corpus,right_only
,MYRIOPHYLLUM,BATRACHIUM,,,,CHILD-PARENT,1.0,13.99,JEFF corpus,right_only
,LONGISPINA,BOSMINA,,,,PARENT-CHILD,3.0,13.58,JEFF corpus,right_only
,HUCHO,BRACHYMYSTAX,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,LONGIMANUS,BYTHOTREPHES,,,,PARENT-CHILD,8.0,13.83,JEFF corpus,right_only
,BAETIDAE,CAENIDAE,,,,CHILD-PARENT,2.0,13.67,JEFF corpus,right_only
,CALLES,CAIOLA,,,,CHILD-PARENT,1.0,13.99,JEFF corpus,right_only
,BATRACHIUM,CALLITRICHE,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,CYPRINUS,CARP,,,,CHILD-PARENT,1.0,13.99,JEFF corpus,right_only
,CORREIA,CATARINA,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,TABANIDAE,CERATOPOGONIDAE,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,ALCYON,CERYLE,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,FLAVICANS,CHAOBORUS,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,TETRAGONOPTERINAE,CHARACIDAE,,,,PARENT-CHILD,3.0,13.58,JEFF corpus,right_only
,TRICHOMYCTERUS,CHARACIDIUM,,,,CHILD-PARENT,1.0,13.99,JEFF corpus,right_only
,RIPARIUS,CHIRONOMUS,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,ERYTHROGASTER,CHROSOMUS,,,,CHILD-PARENT,6.0,13.77,JEFF corpus,right_only
,DAPHNIA,CLADOCERA,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,CONSECUENCIA,COMO,,,,CHILD-PARENT,2.0,13.99,JEFF corpus,right_only
,SEPTEMSPINOSA,CRANGON,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,CYMOTHOIDAE,CRUSTACEA,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,IDELLUS,CTENOPHARYNGODON,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,INCON,CULAEA,,,,PARENT-CHILD,2.0,13.99,JEFF corpus,right_only
,REGALIA,CYNOSCION,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,POLYMORPHA,DREISSENA,,,,PARENT-CHILD,25.0,13.94,JEFF corpus,right_only
,MELANOGASTER,DROSOPHILA,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,ZOOLOGIA,ECOLOGIA,,,,CHILD-PARENT,1.0,13.99,JEFF corpus,right_only
,CERATOPOGONIDAE,EMPIDIDAE,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,TRIDENTATUS,ENTOSPHENUS,,,,PARENT-CHILD,16.0,13.99,JEFF corpus,right_only
,ESPECIE,ESTA,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,MAGBANUA,FRANCIS,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,ICTALURIDAE,FUNDULIDAE,,,,CHILD-PARENT,1.0,13.99,JEFF corpus,right_only
,MAXIMA,GLYCERIA,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,HYDROPSYCHIDAE,HEPTAGENIIDAE,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,GIBBERUM,HOLOPEDIUM,,,,PARENT-CHILD,4.0,13.99,JEFF corpus,right_only
,KINDTII,LEPTODORA,,,,PARENT-CHILD,6.0,13.88,JEFF corpus,right_only
,INTESTINALIS,LIGULA,,,,PARENT-CHILD,9.0,13.99,JEFF corpus,right_only
,ALBANICUS,LUCIOBARBUS,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,VARIEGATUS,LYTECHINUS,,,,CHILD-PARENT,1.0,13.99,JEFF corpus,right_only
,MIRZA,MIRANDA,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,TERAPONTIDAE,MUGILIDAE,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,SPICATUM,MYRIOPHYLLUM,,,,PARENT-CHILD,5.0,13.73,JEFF corpus,right_only
,RELICTA,MYSIS,,,,PARENT-CHILD,14.0,13.55,JEFF corpus,right_only
,ELVIRA,NICOLA,,,,PARENT-CHILD,2.0,13.99,JEFF corpus,right_only
,LUTEA,NUPHAR,,,,PARENT-CHILD,2.0,13.67,JEFF corpus,right_only
,APPLICATA,OECOLOGIA,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,CATCH,OSSEUS,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,SICYDIINAE,PANNELLA,,,,CHILD-PARENT,1.0,13.99,JEFF corpus,right_only
,DENTATIS,PARALICHTHYS,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,ARUNDINACEA,PHALAROIDES,,,,CHILD-PARENT,1.0,13.99,JEFF corpus,right_only
,CERATOPHYLLUM,PODOSTEMUM,,,,PARENT-CHILD,3.0,13.99,JEFF corpus,right_only
,OSTEICHTHYES,PROMELAS,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,MAREANA,PROTOTROCTES,,,,PARENT-CHILD,5.0,13.99,JEFF corpus,right_only
,ALNUS,SALIX,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,MAXIMUS,SCOPHTHALMUS,,,,PARENT-CHILD,4.0,13.99,JEFF corpus,right_only
,ERECTUM,SPARGANIUM,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,MUGILIDAE,SPARIDAE,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,GUIRDNERI,SULMO,,,,PARENT-CHILD,9.0,13.53,JEFF corpus,right_only
,MERIALUEILLA,SUOMEN,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,AMERICUNA,VALLISNERIA,,,,PARENT-CHILD,3.0,13.99,JEFF corpus,right_only
,CYPRINIFORMES,VENUSTA,,,,PARENT-CHILD,1.0,13.99,JEFF corpus,right_only
,CALLITRICHE,ZANNICHELLIA,,,,CHILD-PARENT,1.0,13.99,JEFF corpus,right_only
