parent,child,hits,mean,median
CRATEROCEPHALUS,FLUVIATILIS,6,9.04,9.04
CYPRINELLA,CAERULEA,6,11.91,11.91
FISH,SALMO,6,9.08,9.08
GOBY,MINUTUS,6,10.62,10.62
HYBOGNATHUS,PLACITUS,6,13.33,13.33
LEPTODORA,KINDTII,6,13.88,13.88
LETHENTERON,REISSNERI,6,13.5,13.5
LEUCASPIUS,DELINEATUS,6,13.88,13.88
MOXOSTOMA,VALENCIENNESI,6,13.12,13.12
MUGIL,CEPHALUS,6,11.23,11.23
NEOGOBIUS,FLUVIATILIS,6,8.81,8.81
NOTROPIS,LUTIPINNIS,6,11.61,11.61
NOTROPIS,STRAMINEUS,6,11.52,11.52
PERCH,LINNAEUS,6,9.26,9.26
PHOXINUS,NEOGAEUS,6,11.5,11.5
POECILIA,LATIPINNA,6,12.38,12.38
POMATOSCHISTUS,MINUTUS,6,13.26,13.26
PSEUDOGOBIUS,OLORUM,6,13.88,13.88
SOLEA,SOLEA,6,13.99,13.99
TROUT,MARMORATUS,6,8.38,8.38
UMBRA,LIMI,6,13.77,13.77
ACIPENSER,TRANSMONTANUS,5,13.23,13.23
ACULEATUS,LINNAEUS,5,10.16,10.16
AMEIURUS,NEBULOSUS,5,13.62,13.62
BARBUS,PETENYI,5,10.72,10.72
CHONDROSTOMA,POLYLEPIS,5,12.07,12.07
CLADOCERA,COPEPODA,5,12.73,12.73
CLARIAS,GARIEPINUS,5,13.51,13.51
COREGONUS,ARTEDII,5,9.15,9.15
COTTUS,HANGIONGENSIS,5,9.84,9.84
COUESIUS,PLUMBEUS,5,13.62,13.62
DAPHNIA,PULEX,5,12.11,12.11
EEL,AUSTRALIS,5,9.96,9.96
ETHEOSTOMA,EXILE,5,10.43,10.43
FISH,ESOX,5,8.81,8.81
FISH,TRUTTA,5,8.85,8.85
GALAXIAS,ARGENTEUS,5,11.25,11.25
HEPSETUS,ODOE,5,13.99,13.99
KUHLIA,RUPESTRIS,5,12.57,12.57
LEUCISCUS,PYRENAICUS,5,11,11
LUCIUS,FLUVIATILIS,5,8.74,8.74
MENIDIA,BERYLLINA,5,13,13
MUSTELA,VISON,5,13.86,13.86
MYRIOPHYLLUM,SPICATUM,5,13.73,13.73
NOCOMIS,MICROPOGON,5,12.41,12.41
ONCHORHYNCHUS,MYKISS,5,9.18,9.18
ONCORHYNCHUS,CLARKII,5,7.99,7.99
PARASALMO,MYKISS,5,9.21,9.21
PROTOTROCTES,MAREANA,5,13.99,13.99
PTYCHOCHEILUS,LUCIUS,5,9.75,9.75
PUNDAMILIA,NYEREREI,5,13.32,13.32
RHINOGOBIUS,SPECIES,5,9.53,9.53
SALMO,ONCORHYNCHUS,5,6.79,6.79
SALMONIDAE,SPECIE,5,6.93,6.93
SPECIE,GOBIO,5,7.79,7.79
SPECIE,LEPOMIS,5,8.8,8.8
TELEOSTEI,CYPRINIDAE,5,12.51,12.51
TILAPIA,GUINEENSIS,5,13.07,13.07
VIMBA,VIMBA,5,13.99,13.99
ALNUS,GLUTINOSA,4,13.99,13.99
ALOSA,FALLAX,4,11.14,11.14
ANGUILLA,EEL,4,9.845,9.845
ANGUILLA,LARVA,4,7.105,7.105
ANGUILLA,MARMORATA,4,9.47,9.47
ARDEA,CINEREA,4,13.67,13.67
BARBUS,BOCAGEI,4,10.41,10.41
CARPIODES,CYPRINUS,4,13.83,13.83
CHUB,MICROPOGON,4,10.08,10.08
CICHLA,SPECIE,4,6.63,6.63
COLEOPTERA,COPEPODA,4,11.99,11.99
COLEOPTERA,HEMIPTERA,4,12.14,12.14
COLLEMBOLA,COPEPODA,4,12.68,12.68
COTTUS,SPECIE,4,6.45,6.45
DICENTRARCHUS,LABRAX,4,13.99,13.99
DOROSOMA,PETENENSE,4,12.29,12.29
ENGRAULIS,MORDAX,4,12.24,12.24
FISH,GIBBOSUS,4,6.48,6.48
FISH,MACULATUS,4,8.255,8.255
FISH,ONCORHYNCHUS,4,8.53,8.53
GAMBUSIA,SPECIES,4,8.91,8.91
GASTEROSTEUS,LINNAEUS,4,9.08,9.08
HEPHAESTUS,FULIGINOSUS,4,13.99,13.99
HOLOPEDIUM,GIBBERUM,4,13.99,13.99
HYPOPHTHALMICHTHYS,MOLITRIX,4,13.99,13.99
LEPOMIS,MARGINATUS,4,9.74,9.74
LEPORINUS,OCTOFASCIATUS,4,13.09,13.09
LOTA,LINNEAUS,4,13.19,13.19
MARINUS,LINNAEUS,4,9.87,9.87
MOXOSTOMA,DUQUESNEI,4,12.68,12.68
MYOXOCEPHALUS,THOMPSONII,4,13.54,13.54
NOCOMIS,BIGUTTATUS,4,12.29,12.29
NOCOMIS,LEPTOCEPHALUS,4,12.29,12.29
NOTROPIS,BAILEYI,4,11.06,11.06
NOTROPIS,BUCCULA,4,11.06,11.06
NOTROPIS,TEXANUS,4,10.87,10.87
ONCORHYNCHUS,SPECIE,4,6.07,6.07
