source,target,relations,hits,score,score.1
DIPTERA,SIMULIIDAE,PARENT-CHILD,2,12.09,12.09
DIPTERA,TRICHOPTERA,PARENT-CHILD,2,11.09,11.09
DREISSENA,BUGENSIS,PARENT-CHILD,2,11.14,11.14
EPHEMEROPTERA,ODONATA,PARENT-CHILD,2,11.54,11.54
ESOCIDAE,SALMONIDAE,PARENT-CHILD,2,11.91,11.91
ETHEOSTOMA,ASPRIGENE,PARENT-CHILD,2,9.16,9.16
ETHEOSTOMA,CRAGINI,PARENT-CHILD,2,9.16,9.16
ETHEOSTOMA,LYNCEUM,PARENT-CHILD,2,9.16,9.16
ETHEOSTOMA,MICROPERCA,PARENT-CHILD,2,9.16,9.16
ETHEOSTOMA,RUBRUM,PARENT-CHILD,2,9.16,9.16
ETHEOSTOMA,TETRAZONUM,PARENT-CHILD,2,9.16,9.16
FONTINALIS,TRUTTA,PARENT-CHILD,2,6.52,6.52
FUNDULUS,SCIADICUS,PARENT-CHILD,2,10.54,10.54
FUNDULUS,ZEBRINUS,PARENT-CHILD,2,10.54,10.54
GALAXIAS,OLIDUS,PARENT-CHILD,2,10.04,10.04
GAMBUSIA,DAPHNIA,PARENT-CHILD,2,9.46,9.46
GAMMARUS,PSEUDOLIMNAEUS,PARENT-CHILD,2,13,13
GIGAS,TELEOSTEI,PARENT-CHILD,2,13,13
GLOSSOGOBIUS,AUREUS,PARENT-CHILD,2,13.99,13.99
GOBIO,LINNAEUS,CHILD-PARENT,2,9.01,9.01
GOBIOMORUS,DORMITOR,PARENT-CHILD,2,13.99,13.99
GUMMARUS,PULEX,CHILD-PARENT,2,12.19,12.19
HEMIGRAMMUS,ERYTHROZONUS,PARENT-CHILD,2,13.99,13.99
HIPPURIS,VULGARIS,PARENT-CHILD,2,13.41,13.41
HYBOGNATHUS,HAYI,PARENT-CHILD,2,12.09,12.09
HYDROCYNUS,FORSKAHLII,PARENT-CHILD,2,12.19,12.19
ICTALURUS,FURCATUS,PARENT-CHILD,2,11.3,11.3
ICTIOBUS,BUBALUS,PARENT-CHILD,2,13.67,13.67
LAMPETRA,RICHARDSONI,PARENT-CHILD,2,9.75,9.75
LAMPETRA,SPP,PARENT-CHILD,2,9.69,9.69
LEPISOSTEUS,HIODON,PARENT-CHILD,2,11,11
LEPISOSTEUS,PLATOSTOMUS,PARENT-CHILD,2,11.24,11.24
LEPOMIS,CONSUMPTION,PARENT-CHILD,2,8.79,8.79
LEPOMIS,GULOSUS,PARENT-CHILD,2,8.76,8.76
LEPOMIS,LINNAEUS,PARENT-CHILD,2,7.92,7.92
LEPOMIS,MICROLOPHUS,PARENT-CHILD,2,8.79,8.79
LEPORINUS,OBTUSIDENS,PARENT-CHILD,2,12.19,12.19
LEPTOCOTTUS,ARMATUS,PARENT-CHILD,2,13.99,13.99
LETHENTERON,CAMTSCHATICUM,PARENT-CHILD,2,12.54,12.54
LIMANDA,LIMANDA,PARENT-CHILD,2,13.99,13.99
LONTRA,CANADENSIS,PARENT-CHILD,2,11.75,11.75
LOTA,LINNAEUS,PARENT-CHILD,2,7.735,7.735
LOTIDAE,SALMONIDAE,PARENT-CHILD,2,11.99,11.99
MACCULLOCHELLA,MACQUARIENSIS,PARENT-CHILD,2,11.47,11.47
MACQUARIA,NOVEMACULEATA,PARENT-CHILD,2,10.79,10.79
MACRHYBOPSIS,AESTIVALIS,PARENT-CHILD,2,13.19,13.19
MALLOTUS,VILLOSUS,PARENT-CHILD,2,13.99,13.99
MEGALOPTERA,EPHEMEROPTERA,PARENT-CHILD,2,12.54,12.54
MELANOTAENIA,AUSTRALIS,CHILD-PARENT,2,11.54,11.54
MERGUS,ALBELLUS,PARENT-CHILD,2,13.41,13.41
MERGUS,MERGANSER,PARENT-CHILD,2,13.41,13.41
MERLUCCIUS,MERLUCCIUS,PARENT-CHILD,2,13.99,13.99
MICROPTERUS,PUNCTULATUS,PARENT-CHILD,2,10.35,10.35
MOXOSTOMA,ERYTHRURUM,PARENT-CHILD,2,11.83,11.83
MOXOSTOMA,MACROLEPIDOTUM,PARENT-CHILD,2,11.91,11.91
MUS,MUSCULUS,PARENT-CHILD,2,13.99,13.99
MYLOCHEILUS,CAURINUS,PARENT-CHILD,2,13.99,13.99
NICOLA,ELVIRA,PARENT-CHILD,2,13.99,13.99
NOTROPIS,BLENNIUS,PARENT-CHILD,2,10.19,10.19
NOTROPIS,NOTROPIS,PARENT-CHILD,2,10.16,10.16
NOTROPIS,SHUMARDI,PARENT-CHILD,2,10.19,10.19
NUPHAR,LUTEA,PARENT-CHILD,2,13.67,13.67
OLIVARIS,MORONE,PARENT-CHILD,2,12.83,12.83
ONCHORHYNCHUS,CLARKI,PARENT-CHILD,2,11.3,11.3
ONCHORYNCHUS,MYKISS,CHILD-PARENT,2,8.14,8.14
ONCORHYNCHUS,KITSUTCH,PARENT-CHILD,2,6.71,6.71
ONCORHYNCHUS,MASU,PARENT-CHILD,2,6.71,6.71
ONCORHYNCHUS,ONCORHYNCHUS,PARENT-CHILD,2,6.7,6.7
ONCORHYNCHUS,RHODURUS,PARENT-CHILD,2,6.71,6.71
ONCORHYNCHUS,SPP,PARENT-CHILD,2,6.71,6.71
ONCORHYNCHUS,TSCHAWYTSCHA,PARENT-CHILD,2,6.71,6.71
ONCORHYNCUS,TSHAWYTSCHA,CHILD-PARENT,2,9.16,9.16
OSMERIDAE,MORDAX,PARENT-CHILD,2,11.41,11.41
OSSEUS,HIODON,PARENT-CHILD,2,12.83,12.83
PARUS,MAJOR,PARENT-CHILD,2,13.41,13.41
PARVA,LUCIOPERCA,PARENT-CHILD,2,9.75,9.75
PERCA,JUVIATILIS,PARENT-CHILD,2,7.79,7.79
PERCICHTHYS,TRUCHA,PARENT-CHILD,2,13.67,13.67
PERCIDAE,FLUVIATILIS,PARENT-CHILD,2,9.74,9.74
PERCIDAE,PERCA,PARENT-CHILD,2,11.935,11.935
PERCIDAE,SALMONIDAE,PARENT-CHILD,2,11.54,11.54
PERCIFORMES,PERCICHTHYIDAE,PARENT-CHILD,2,12.83,12.83
PHOXINUS,CEPHALUS,PARENT-CHILD,2,8.55,8.55
PLECOPTERA,HEMIPTERA,PARENT-CHILD,2,11.75,11.75
PLEURONECTES,PLATESSA,PARENT-CHILD,2,13.99,13.99
POECILLIA,RETICULATA,CHILD-PARENT,2,11.3,11.3
PORICHTHYS,NOTATUS,CHILD-PARENT,2,11.09,11.09
POTAMOGETON,ILLINOENSIS,PARENT-CHILD,2,13.19,13.19
PSEUDOCHONDROSTOMA,POLYLEPIS,CHILD-PARENT,2,12.83,12.83
PSEUDOPLEURONECTES,AMERICANUS,CHILD-PARENT,2,13.41,13.41
PSEUDOTROPHEUS,ZEBRA,PARENT-CHILD,2,13.41,13.41
PYGOSTEUS,PUNGITIUS,PARENT-CHILD,2,10.27,10.27
PYGOSTEUS,PUNGITUS,PARENT-CHILD,2,13.41,13.41
PYLODICTIS,MORONE,PARENT-CHILD,2,11.91,11.91
RHINICHTHYS,ATRATULUS,PARENT-CHILD,2,11.19,11.19
RHODEUS,CYPRINIDAE,PARENT-CHILD,2,10.35,10.35
RHODEUS,OCELLATUS,PARENT-CHILD,2,10.68,10.68
RUPESTRIS,CENTRARCHIDAE,PARENT-CHILD,2,13.41,13.41
RUTILIS,RUTILIS,PARENT-CHILD,2,13.41,13.41
RUTILIS,RUTILUS,PARENT-CHILD,2,8.24,8.24
RUTILUS,BRAMA,PARENT-CHILD,2,9.85,9.85
RUTILUS,SALMO,PARENT-CHILD,2,9.1,9.1
SALMO,MYKISS,CHILD-PARENT,2,5.29,5.29
SALVELINUS,LINNEAUS,PARENT-CHILD,2,6.22,6.22
SALVELINUS,UMBLA,PARENT-CHILD,2,6.23,6.23
SANDER,VITREUM,PARENT-CHILD,2,9.56,9.56
SCARDINIUS,ERYTHROPH,PARENT-CHILD,2,10.82,10.82
SCHISTOCEPHALUS,PUNGITIUS,CHILD-PARENT,2,9.93,9.93
SCIAENOPS,OCELLATUS,PARENT-CHILD,2,13.41,13.41
SDMO,GAIRDNERI,PARENT-CHILD,2,10.16,10.16
SERICEUS,CYPRINIDAE,CHILD-PARENT,2,11.91,11.91
SERRANUS,SCRIBA,PARENT-CHILD,2,13.99,13.99
SICYDIINAE,KEITH,PARENT-CHILD,2,12.41,12.41
SICYOPTERUS,SARASINI,PARENT-CHILD,2,9.52,9.52
SILURIFORMES,LORICARIIDAE,PARENT-CHILD,2,13.41,13.41
SQUALIUS,TORGALENSIS,PARENT-CHILD,2,11.04,11.04
STIZOSTEDION,CANADENSE,PARENT-CHILD,2,9.95,9.95
STIZOSTEDIUM,LUCIOPERCA,PARENT-CHILD,2,9.75,9.75
TELEOSTEI,OSTEOGLOSSIDAE,PARENT-CHILD,2,11.83,11.83
THYMALLUS,LINNAEUS,PARENT-CHILD,2,7.575,7.575
THYMALLUS,SALMONIDAE,PARENT-CHILD,2,11.75,11.75
TILAPIA,RENDALLI,PARENT-CHILD,2,11.91,11.91
TILAPIA,THOLLONI,PARENT-CHILD,2,11.83,11.83
TRICHOPTERA,DIPTERA,PARENT-CHILD,2,11.61,11.61
TRICHOPTERA,ODONATA,PARENT-CHILD,2,11.67,11.67
UMBRA,KRAMERI,PARENT-CHILD,2,12.68,12.68
ABRAMIS,BALLERUS,PARENT-CHILD,1,8.96,8.96
ABRAMIS,HRAMA,PARENT-CHILD,1,8.98,8.98
ACANTHOPAGRUS,SCHLEGELI,PARENT-CHILD,1,12.68,12.68
ACANTHURUS,TRIOSTEGUS,PARENT-CHILD,1,13.99,13.99
ACARI,TETRANYCHIDAE,PARENT-CHILD,1,13.99,13.99
ACARINA,CLADOCERA,PARENT-CHILD,1,12.19,12.19
ACERINA,CERNUA,CHILD-PARENT,1,11.09,11.09
ACID,ALBULA,CHILD-PARENT,1,12.19,12.19
ACID,COREGONUS,CHILD-PARENT,1,12.19,12.19
ACIPENSER,BAERII,PARENT-CHILD,1,11.3,11.3
ACIPENSER,STURIO,PARENT-CHILD,1,11.3,11.3
ACTINOPTERYGII,CYPRINODONTIFORMES,PARENT-CHILD,1,13.41,13.41
ACTINOPTERYGII,OSTEOGLOSSIDAE,PARENT-CHILD,1,12.41,12.41
ACULEATUS,PUNGITIUS,PARENT-CHILD,1,9.21,9.21
ADULT,HOYI,CHILD-PARENT,1,12.68,12.68
AESHNA,ACULEATUS,PARENT-CHILD,1,8.34,8.34
AFFINIS,HOLBROOKI,PARENT-CHILD,1,9.27,9.27
AFFINIS,MYERSII,PARENT-CHILD,1,13,13
AFRICANA,LOTUS,PARENT-CHILD,1,13.41,13.41
AGRARIA,MOLINA,CHILD-PARENT,1,13.99,13.99
ALBULA,RUTILUS,PARENT-CHILD,1,7.27,7.27
ALONELLA,NANA,CHILD-PARENT,1,12.68,12.68
ALONELLA,ROSTRATA,CHILD-PARENT,1,9.83,9.83
ALOSA,CHRYSOCHLORIS,PARENT-CHILD,1,9.27,9.27
ALOSA,SAPISISSIMA,PARENT-CHILD,1,9.27,9.27
ALPINUS,LINNAEUS,CHILD-PARENT,1,8.01,8.01
ALUTACEUS,BALTEATUS,CHILD-PARENT,1,11.19,11.19
AMARUS,BRAMA,PARENT-CHILD,1,9.09,9.09
AMBIGUA,PERCICHTHYIDAE,PARENT-CHILD,1,12.68,12.68
AMBLOPLITES,RUSPESTRIS,PARENT-CHILD,1,10.91,10.91
AMEIURUS,AURATUS,PARENT-CHILD,1,9.67,9.67
AMEIURUS,NATALIS,PARENT-CHILD,1,11.67,11.67
AMEIURUS,PERCA,PARENT-CHILD,1,11.19,11.19
AMIEURUS,NATALIS,CHILD-PARENT,1,13.41,13.41
AMPHILIUS,LONGIROSTRIS,CHILD-PARENT,1,13,13
AMPHIPODA,EPHEMEROPTERA,PARENT-CHILD,1,11.3,11.3
AMPHIPODA,GASTROPODA,PARENT-CHILD,1,11.99,11.99
ANCISTRUS,RINELORICARIA,PARENT-CHILD,1,13.99,13.99
ANGUILLA,DIEFFENBACHIA,PARENT-CHILD,1,7.52,7.52
ANGUILLA,REINHARDTII,PARENT-CHILD,1,7.52,7.52
ANGUILLA,VULGARIS,PARENT-CHILD,1,7.5,7.5
ANGUILLIDAE,CENTRARCHIDAE,PARENT-CHILD,1,12.68,12.68
ANNALES,FENNICA,PARENT-CHILD,1,13.99,13.99
ANNULARIS,ETHEOSTOMA,PARENT-CHILD,1,12.41,12.41
ANOMALUM,ATROMACULATUS,PARENT-CHILD,1,10.47,10.47
ANURA,OCULATUS,PARENT-CHILD,1,11.41,11.41
APHREDODERUS,SAYANUS,PARENT-CHILD,1,13.99,13.99
APOLLONIA,MELANOSTOMA,CHILD-PARENT,1,13.41,13.41
APOLLONIA,MELANOSTOMUS,CHILD-PARENT,1,8.82,8.82
ARACHNIDA,HEMIPTERA,PARENT-CHILD,1,11.3,11.3
ARACHNIDAE,COLLEMBOLA,PARENT-CHILD,1,13.41,13.41
ARDEA,ESOX,PARENT-CHILD,1,11.99,11.99
ARDEA,LUCIUS,PARENT-CHILD,1,11.99,11.99
ARNBLOPLITES,RUPESTRIS,CHILD-PARENT,1,10.54,10.54
ARUNDINACEA,LINNAEUS,PARENT-CHILD,1,8.03,8.03
ASOTUS,LINNAEUS,CHILD-PARENT,1,8.03,8.03
ASPECTOS,REPRODUCTIVOS,PARENT-CHILD,1,13.99,13.99
ASTROBLEPUS,UBIDIAI,PARENT-CHILD,1,13.99,13.99
ASTYANAX,BIMACULATUS,PARENT-CHILD,1,11,11
ASTYANAX,CICHLA,PARENT-CHILD,1,11,11
ASTYANAX,FASCIATUS,PARENT-CHILD,1,10.04,10.04
ASTYANAX,MEXICANUS,PARENT-CHILD,1,11,11
ATHERINA,BOYERI,PARENT-CHILD,1,13.99,13.99
ATHERINIDAE,ATHERINOPSIDAE,PARENT-CHILD,1,13.99,13.99
ATRATULUS,CATARACTAE,PARENT-CHILD,1,10.91,10.91
AURATA,LINNAEUS,PARENT-CHILD,1,8.03,8.03
AURATUS,HASSELTI,PARENT-CHILD,1,12.68,12.68
AURATUS,SCLATERI,PARENT-CHILD,1,11,11
AURATUS,SPARIDAE,PARENT-CHILD,1,12.68,12.68
AWAOS,MELANOCEPHALUS,CHILD-PARENT,1,13.41,13.41
AZOLLA,AFRICANA,CHILD-PARENT,1,13.99,13.99
BAETIDAE,HEPTAGENIIDAE,PARENT-CHILD,1,13.41,13.41
BAETIDAE,SIPHLONURIDAE,PARENT-CHILD,1,13.41,13.41
BAILEYI,NOTROPIS,PARENT-CHILD,1,13,13
BALLERUS,BALLERUS,CHILD-PARENT,1,13.41,13.41
BARBUS,BRAZZAI,PARENT-CHILD,1,8.46,8.46
BARBUS,CAMPTACANTHUS,PARENT-CHILD,1,8.46,8.46
BARBUS,COMIZA,PARENT-CHILD,1,8.46,8.46
BARHUS,BARBUS,CHILD-PARENT,1,9.02,9.02
BATRACHIUM,MYRIOPHYLLUM,CHILD-PARENT,1,13.99,13.99
BETULA,NANA,PARENT-CHILD,1,13,13
BFICCA,BJOERKNA,CHILD-PARENT,1,10.19,10.19
BIPUNCTATUS,BARBUS,CHILD-PARENT,1,9.02,9.02
BIVALVIA,CLADOCERA,PARENT-CHILD,1,11.67,11.67
BIVALVIA,VENEROIDA,PARENT-CHILD,1,12.68,12.68
BJOERKNA,ERYTHROPHTHALMUS,PARENT-CHILD,1,9.75,9.75
BJOERKNA,FLUVIATILIS,PARENT-CHILD,1,6.83,6.83
BLENNIUS,FLUVIATILIS,CHILD-PARENT,1,6.84,6.84
BOSMINA,COREGONI,PARENT-CHILD,1,12.68,12.68
BOSMINA,TRICHOPTERA,PARENT-CHILD,1,12.68,12.68
BOSRNINA,LONGISPINA,CHILD-PARENT,1,12.68,12.68
BRACHYMYSTAX,HUCHO,PARENT-CHILD,1,13.99,13.99
BRACHYRHAPHIS,RHABDOPHORA,PARENT-CHILD,1,13.99,13.99
BRAMA,ALBURNUS,PARENT-CHILD,1,9.87,9.87
BRAMA,BARBUS,PARENT-CHILD,1,8.96,8.96
BRAMA,BJOERKNA,PARENT-CHILD,1,10.09,10.09
BRAMA,RUTILUS,PARENT-CHILD,1,7.25,7.25
BRYCONAMERICUS,IHERINGI,PARENT-CHILD,1,12.68,12.68
BRYCONAMERICUS,IHERINGII,PARENT-CHILD,1,12.68,12.68
CAENIDAE,DAPHNIDAE,CHILD-PARENT,1,13,13
CAIOLA,CALLES,CHILD-PARENT,1,13.99,13.99
CALANOIDA,CLADOCERA,CHILD-PARENT,1,12.19,12.19
CALLITRICHE,BATRACHIUM,PARENT-CHILD,1,13.99,13.99
CAMELLIA,JAPONICA,CHILD-PARENT,1,9.21,9.21
CANADENSIS,ESOX,PARENT-CHILD,1,11.67,11.67
CANADENSIS,LUCIUS,PARENT-CHILD,1,11.67,11.67
CANADENSIS,SANDER,PARENT-CHILD,1,11.99,11.99
CANADENSIS,VITREUS,PARENT-CHILD,1,11.99,11.99
CARASSIUS,CUVIERI,PARENT-CHILD,1,9.12,9.12
CARASSIUS,CYPRINIDAE,PARENT-CHILD,1,8.85,8.85
CARP,CYPRINUS,CHILD-PARENT,1,13.99,13.99
CARPIODES,VELIFER,PARENT-CHILD,1,12.41,12.41
CATARINA,CORREIA,PARENT-CHILD,1,13.99,13.99
CATONOTUS,ETHEOSTOMA,CHILD-PARENT,1,13.41,13.41
CATOSTOMIDAE,MORONIDAE,PARENT-CHILD,1,13.41,13.41
CATOSTOMIDAE,TELEOSTEI,PARENT-CHILD,1,11.99,11.99
CATOSTOMUS,COGNATUS,PARENT-CHILD,1,10.47,10.47
CATOSTOMUS,DICOBOLUS,PARENT-CHILD,1,9.5,9.5
CATOSTOMUS,INSIGNIS,PARENT-CHILD,1,9.5,9.5
CEPEDIANUM,ANNULARIS,PARENT-CHILD,1,11.3,11.3
CEPEDIANUM,BERYLLINA,PARENT-CHILD,1,11.99,11.99
CEPHALUS,LINNAEUS,PARENT-CHILD,1,8.02,8.02
CEPHALUS,RUTILUS,PARENT-CHILD,1,7.26,7.26
CERATOPHYLLUM,FONTINALIS,PARENT-CHILD,1,13,13
CERATOPOGONIDAE,TABANIDAE,PARENT-CHILD,1,13.99,13.99
CERIODAPHNIA,QUADRANGULA,PARENT-CHILD,1,13.41,13.41
CERIODAPHNIA,ROTIFERA,PARENT-CHILD,1,12.68,12.68
CERNUA,LUCIOPERCA,PARENT-CHILD,1,8.76,8.76
CERNUUS,ASPIUS,PARENT-CHILD,1,11.67,11.67
CERNUUS,MORHUA,PARENT-CHILD,1,9.95,9.95
CERVUS,ELAPHUS,PARENT-CHILD,1,13.99,13.99
CERYLE,ALCYON,PARENT-CHILD,1,13.99,13.99
CHAOBORUS,FLAVICANS,PARENT-CHILD,1,13.99,13.99
CHARACIDAE,CICHLIDAE,PARENT-CHILD,1,11.99,11.99
CHARACIDAE,OSTARIOPHYSI,PARENT-CHILD,1,12.41,12.41
CHARACIDIUM,TRICHOMYCTERUS,CHILD-PARENT,1,13.99,13.99
CHARACIFORMES,CHARACIDAE,PARENT-CHILD,1,12.68,12.68
CHIRONOMID,FISH,PARENT-CHILD,1,12.68,12.68
CHIRONOMID,IMPORTANCE,PARENT-CHILD,1,13,13
CHIRONOMID,INSECT,PARENT-CHILD,1,13.41,13.41
CHIRONOMIDAE,DIPTERA,PARENT-CHILD,1,11.09,11.09
CHIRONOMIDAE,MOLLUSCA,PARENT-CHILD,1,11.99,11.99
CHIRONOMIDAE,SIMULIIDAE,PARENT-CHILD,1,11.67,11.67
CHIRONOMIDAE,TRICHOPTERA,PARENT-CHILD,1,10.35,10.35
CHIRONOMUS,RIPARIUS,PARENT-CHILD,1,13.99,13.99
CHONDROSTOMA,ALMACAI,PARENT-CHILD,1,9.87,9.87
CHONDROSTOMA,WILLKOMMI,PARENT-CHILD,1,10,10
CHROSOMUS,NEOGAEUS,CHILD-PARENT,1,11.19,11.19
CHYDORIDAE,ROTIFERA,PARENT-CHILD,1,13,13
CICHLIDAE,FACETUM,PARENT-CHILD,1,12.19,12.19
CICHLIDAE,LORICARIIDAE,PARENT-CHILD,1,12.41,12.41
CICHLIDAE,MONODACTYLIDAE,PARENT-CHILD,1,12.41,12.41
CINERA,ESOX,CHILD-PARENT,1,11.99,11.99
CIRRHINUS,AURATUS,CHILD-PARENT,1,9.95,9.95
CLADOCERA,AFFINIS,PARENT-CHILD,1,9.27,9.27
CLADOCERA,CHIRONOMIDAE,PARENT-CHILD,1,11.41,11.41
CLADOCERA,DAPHNIA,PARENT-CHILD,1,13.99,13.99
CLADOCERA,OSTRACODA,PARENT-CHILD,1,11.41,11.41
CLARIAS,CAMERUNENSIS,PARENT-CHILD,1,11.54,11.54
CLARIAS,JAENSIS,PARENT-CHILD,1,11.54,11.54
CLARIAS,PACHYNEMA,PARENT-CHILD,1,11.54,11.54
CLARIAS,PLATYCEPHALUS,PARENT-CHILD,1,11.54,11.54
CLETHRIONOMYS,RUTILUS,CHILD-PARENT,1,7.27,7.27
CLINOSTOMUS,FUNDULOIDES,PARENT-CHILD,1,13.99,13.99
CLUPEIDAE,CYPRINIDAE,PARENT-CHILD,1,10.82,10.82
CLUPEIDAE,PSUEDOHARENGUS,PARENT-CHILD,1,12.19,12.19
COBITIDAE,TAENIA,PARENT-CHILD,1,11.83,11.83
COBITIS,GLANIS,PARENT-CHILD,1,10.09,10.09
COBITIS,TRUTTA,PARENT-CHILD,1,5.5,5.5
COLEOPTERA,ARACHNIDA,PARENT-CHILD,1,10.91,10.91
COLEOPTERA,CERAMBYCIDAE,PARENT-CHILD,1,10.91,10.91
COLEOPTERA,COLEOPTERA,PARENT-CHILD,1,10.75,10.75
COLEOPTERA,DYTISCIDAE,PARENT-CHILD,1,10.91,10.91
COLEOPTERA,HYMENOPTERA,PARENT-CHILD,1,10.6,10.6
COLEOPTERA,ODONATA,PARENT-CHILD,1,10.41,10.41
COLLEMBOLA,HYMENOPTERA,PARENT-CHILD,1,11.67,11.67
COMMERSONII,PERCA,PARENT-CHILD,1,12.19,12.19
CONFLUENTUS,CARPIODES,PARENT-CHILD,1,13,13
CONFLUENTUS,CYPRINUS,PARENT-CHILD,1,13,13
COPEPODA,ACARINA,PARENT-CHILD,1,13,13
COREGNUS,NASUS,CHILD-PARENT,1,9.79,9.79
COREGONUS,CLUPEAFORMISS,PARENT-CHILD,1,6.86,6.86
COREGONUS,IUVURETUS,PARENT-CHILD,1,6.86,6.86
COREGONUS,KIYI,PARENT-CHILD,1,6.86,6.86
COREGONUS,LAVA,PARENT-CHILD,1,6.86,6.86
COREGONUS,LAVAREFUS,PARENT-CHILD,1,6.86,6.86
COREGONUS,LAVERETUS,PARENT-CHILD,1,6.86,6.86
COREGONUS,LUVURETUS,PARENT-CHILD,1,6.86,6.86
COREGONUS,ZENI,PARENT-CHILD,1,6.86,6.86
CORIXIDAE,TRICHOPTERA,CHILD-PARENT,1,10.68,10.68
CORNUTUS,PERCINA,PARENT-CHILD,1,11.99,11.99
COTTUS,ASPERRIMUS,PARENT-CHILD,1,7.63,7.63
COTTUS,HAIRDI,PARENT-CHILD,1,7.63,7.63
COTTUS,HANGEONGENSIS,PARENT-CHILD,1,7.63,7.63
COTTUS,PERIFRETUM,PARENT-CHILD,1,7.63,7.63
COTTUS,PJIGMAEUS,PARENT-CHILD,1,7.63,7.63
COTTUS,POLLUS,PARENT-CHILD,1,7.63,7.63
COTTUS,RICEI,PARENT-CHILD,1,7.63,7.63
COTUS,COGNATUS,CHILD-PARENT,1,10.47,10.47
CRANGON,SEPTEMSPINOSA,PARENT-CHILD,1,13.99,13.99
CRATEROCEPHALUS,STRAMINEUS,CHILD-PARENT,1,10.41,10.41
CRUSTACEA,CYMOTHOIDAE,PARENT-CHILD,1,13.99,13.99
CTENOPHARYNGODON,IDELLUS,PARENT-CHILD,1,13.99,13.99
CURTONOTUM,HEMIPTERA,CHILD-PARENT,1,11.3,11.3
CURUSSIUS,CARASSIUS,CHILD-PARENT,1,10.41,10.41
CYNOSCION,REGALIA,PARENT-CHILD,1,13.99,13.99
CYPRINELLA,HYBOPSIS,PARENT-CHILD,1,9.41,9.41
CYPRINELLA,SPILOPTERA,PARENT-CHILD,1,9.48,9.48
CYPRINIDAE,BRAMA,PARENT-CHILD,1,8.96,8.96
CYPRINIDAE,FUNDULIDAE,PARENT-CHILD,1,11.99,11.99
CYPRINIDAE,PERCIDAE,PARENT-CHILD,1,11.54,11.54
CYPRINIDAE,POECILIIDAE,PARENT-CHILD,1,11.67,11.67
CYPRINIDAE,SALMONIDAE,PARENT-CHILD,1,10.6,10.6
CYPRINIDAE,TELEOSTEI,PARENT-CHILD,1,11.3,11.3
CYPRINIDAE,UMBRIDAE,PARENT-CHILD,1,11.54,11.54
CYPRINIFORMES,CATOSTOMIDAE,CHILD-PARENT,1,13,13
CYPRINIFORMES,CYPRINIDAE,CHILD-PARENT,1,11,11
CYPRINODON,NEVADENSIS,PARENT-CHILD,1,11.41,11.41
CYPRINODON,PECOSENSIS,PARENT-CHILD,1,11.41,11.41
DAPHIA,PULEX,CHILD-PARENT,1,11.3,11.3
DAPHNIA,HYALINA,PARENT-CHILD,1,10.3,10.3
DAPHNIA,LUMHOLTZI,PARENT-CHILD,1,10.3,10.3
DAPHNIA,ROTIFERA,PARENT-CHILD,1,10.19,10.19
DICHROURA,AFFINIS,CHILD-PARENT,1,9.48,9.48
DIET,AMBIGUA,CHILD-PARENT,1,11.83,11.83
DIET,MACQUARIA,CHILD-PARENT,1,11.83,11.83
DIPTERA,CHIRONOMIDAE,PARENT-CHILD,1,11.09,11.09
DIPTERA,CLADOCERA,PARENT-CHILD,1,10.91,10.91
DIPTERA,COLLEMBOLA,PARENT-CHILD,1,11.3,11.3
DIPTERA,DIET,PARENT-CHILD,1,11.99,11.99
DIPTERA,EPHEMEROPTERA,PARENT-CHILD,1,10.82,10.82
DIPTERA,FIG.,PARENT-CHILD,1,11.83,11.83
DIPTERA,HYMENOPTERA,PARENT-CHILD,1,11,11
DIPTERA,LAKE,PARENT-CHILD,1,11.54,11.54
DIPTERA,LEPOMIS,PARENT-CHILD,1,12.41,12.41
DIPTERA,MASS,PARENT-CHILD,1,12.41,12.41
DIPTERA,MEGALOPTERA,PARENT-CHILD,1,11.3,11.3
DIPTERA,THYSANOPTERA,PARENT-CHILD,1,11.41,11.41
DORADIDAE,GRANULOSUS,CHILD-PARENT,1,11.09,11.09
DOROSOMA,PIMEPHALES,PARENT-CHILD,1,10.14,10.14
DROSOPHILA,MELANOGASTER,PARENT-CHILD,1,13.99,13.99
ECOLOGIA,ZOOLOGIA,CHILD-PARENT,1,13.99,13.99
EMPIDIDAE,CERATOPOGONIDAE,PARENT-CHILD,1,13.99,13.99
ENGRAULIS,ENCRASICOLUS,PARENT-CHILD,1,12.41,12.41
EPHEMEROPTERA,LEPIDOPTERA,PARENT-CHILD,1,10.75,10.75
EPHEMEROPTERA,SIMULIIDAE,PARENT-CHILD,1,10.82,10.82
ERYTHROPHTHALMUS,ALBURNUS,PARENT-CHILD,1,9.95,9.95
ERYTHROPHTHALMUS,AURATUS,PARENT-CHILD,1,9.91,9.91
ERYTHROZONUS,CHARACIDAE,PARENT-CHILD,1,12.68,12.68
ESOCIDAE,LUCIUS,PARENT-CHILD,1,7.48,7.48
ESOX,AMERICANUS,PARENT-CHILD,1,7.34,7.34
ESOX,LUCZUS,PARENT-CHILD,1,7.37,7.37
ESTA,ESPECIE,PARENT-CHILD,1,13.99,13.99
ETHEOSTOMA,BLENNIOIDES,PARENT-CHILD,1,8.18,8.18
ETHEOSTOMA,BREVIROSTRUM,PARENT-CHILD,1,8.18,8.18
ETHEOSTOMA,CHIENENSE,PARENT-CHILD,1,8.18,8.18
