source,target,hits,score,score.1,Hits,Score
MERLUCCIUS,MERLUCCIUS,4.0,13.99,13.99,4.0,13.99
MICROPTERUS,DOLOMIEU,52.0,13.69,13.69,52.0,13.69
MISGURNUS,ANGUILLICAUDATUS,13.0,13.94,13.94,13.0,13.94
MOLLUSCA,POTAMOPYRGUS,2.0,13.99,13.99,2.0,13.99
MORONE,SAXATILIS,52.0,13.75,13.75,52.0,13.75
MOXOSTOMA,MACROLEPIDOTUM,6.0,13.26,13.26,6.0,13.26
MUSCIDAE,EPHYDRIDAE,1.0,13.99,13.99,1.0,13.99
MUSTELA,VISON,2.0,13.67,13.67,2.0,13.67
MYLOCHEILUS,CAURINUS,6.0,13.99,13.99,6.0,13.99
MYOXOCEPHALUS,SCORPIUS,34.0,13.37,13.37,34.0,13.37
MYOXOCEPHALUS,THOMPSONII,27.0,13.11,13.11,27.0,13.11
MYRIOPHYLLUM,ALGA,1.0,13.0,13.0,1.0,13.0
MYRIOPHYLLUM,REFUGE,1.0,13.0,13.0,1.0,13.0
MYRIOPHYLLUM,SPICATUM,57.0,13.88,13.88,57.0,13.88
MYSIS,DILUVIANA,13.0,13.27,13.27,13.0,13.27
MYSIS,RELICTA,13.0,13.27,13.27,13.0,13.27
MYTILUS,EDULIS,11.0,13.99,13.99,11.0,13.99
NANNOPERCA,AUSTRALIS,37.0,13.62,13.62,37.0,13.62
NEMATODA,ACANTHOCEPHALA,4.0,13.3,13.3,4.0,13.3
NEOCHANNA,DIVERSUS,2.0,13.41,13.41,2.0,13.41
NEOGOBIUS,MELANOSTOMUS,83.0,13.94,13.94,83.0,13.94
NEOLAMPROLOGUS,PULCHER,1.0,13.99,13.99,1.0,13.99
NEOVISON,VISON,1.0,13.0,13.0,1.0,13.0
NIGRUM,SPECTABILE,2.0,13.41,13.41,2.0,13.41
NITELLA,MYRIOPHYLLUM,2.0,13.41,13.41,2.0,13.41
NOCOMIS,BIGUTTATUS,4.0,13.83,13.83,4.0,13.83
NOTEMIGONUS,CRYSOLEUCAS,12.0,13.94,13.94,12.0,13.94
NOTURUS,FLAVUS,1.0,13.41,13.41,1.0,13.41
NUPHAR,LUTEA,10.0,13.93,13.93,10.0,13.93
NYMPHAEA,ALBA,3.0,13.77,13.77,3.0,13.77
ODOE,VITTATUS,1.0,13.0,13.0,1.0,13.0
ONCORHYNCHUS,MYKISS,663.0,13.36,13.36,663.0,13.36
OPSOPOEODUS,EMILIAE,1.0,13.0,13.0,1.0,13.0
ORCONECTES,PROPINQUUS,8.0,13.35,13.35,8.0,13.35
ORCONECTES,RUSTICUS,7.0,13.22,13.22,7.0,13.22
OSMERIDAE,EPERLANUS,1.0,13.41,13.41,1.0,13.41
OSMERIDAE,OSMERUS,1.0,13.41,13.41,1.0,13.41
OSMERUS,EPERLANUS,34.0,13.31,13.31,34.0,13.31
OSMERUS,MORDAX,40.0,13.3,13.3,40.0,13.3
OSTRACODA,HYDRACARINA,1.0,13.0,13.0,1.0,13.0
OTOLITHS,PIG,1.0,13.99,13.99,1.0,13.99
PACIFASTACUS,LENIUSCULUS,16.0,13.99,13.99,16.0,13.99
PANDION,HALIAETUS,3.0,13.99,13.99,3.0,13.99
PARALICHTHYS,OLIVACEUS,22.0,13.62,13.62,22.0,13.62
PARVICAPSULA,MINIBICORNIS,5.0,13.99,13.99,5.0,13.99
PECES,CONTINENTALES,1.0,13.99,13.99,1.0,13.99
PECTORALIS,OSMERIDAE,1.0,13.41,13.41,1.0,13.41
PELLUCIDA,ETHEOSTOMA,1.0,13.41,13.41,1.0,13.41
PERCICHTHYS,TRUCHA,8.0,13.99,13.99,8.0,13.99
PERCIFORMES,SCIAENIDAE,4.0,13.54,13.54,4.0,13.54
PERLODIDAE,LEUCTRIDAE,1.0,13.41,13.41,1.0,13.41
PETROMYZON,MARINUS,245.0,13.96,13.96,245.0,13.96
PHALACROCORAX,ARISTOTELIS,1.0,13.41,13.41,1.0,13.41
PHALACROCORAX,CARBO,1.0,13.41,13.41,1.0,13.41
PHENACOBIUS,MIRABILIS,2.0,13.99,13.99,2.0,13.99
PHOXINUS,PHOXINUS,46.0,13.89,13.89,46.0,13.89
PHRAGMITES,CYPERUS,1.0,13.41,13.41,1.0,13.41
PHYSA,GYRAULUS,1.0,13.99,13.99,1.0,13.99
PHYSIDAE,PLANORBIDAE,1.0,13.99,13.99,1.0,13.99
PIMEPHALES,PROMELAS,23.0,13.61,13.61,23.0,13.61
