TAXRANK_target_x,target,source,TAXRANK_source_x,data_source_x_x,relations_x,score.1_x,data_source_y_x,included_x,data_source_x,TAXRANK_target_y,TAXRANK_source_y,data_source_x_y,relations_y,score.1_y,data_source_y_y,included_y,data_source_y,_merge
 SPECIES,CARASSIUS,CARASSIUS, GENUS,VTO ontology,is_a,12.63,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.63,WEB corpus,both,WEB frequency,both
 SPECIES,AURATUS,CARASSIUS, GENUS,VTO ontology,is_a,13.52,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.52,WEB corpus,both,WEB frequency,both
 SPECIES,PARVA,PSEUDORASBORA, GENUS,VTO ontology,is_a,13.73,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.73,WEB corpus,both,WEB frequency,both
 SPECIES,CAROLITERTII,SQUALIUS, GENUS,VTO ontology,is_a,13.08,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.08,WEB corpus,both,WEB frequency,both
 SPECIES,CEPHALUS,SQUALIUS, GENUS,VTO ontology,is_a,11.83,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.83,WEB corpus,both,WEB frequency,both
 SPECIES,CEPHALUS,SQUALIUS, GENUS,VTO ontology,is_a,11.83,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.83,WEB corpus,both,WEB frequency,both
 SPECIES,ASPIUS,ASPIUS, GENUS,VTO ontology,is_a,13.66,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.66,WEB corpus,both,WEB frequency,both
 SPECIES,CATARACTAE,RHINICHTHYS, GENUS,VTO ontology,is_a,13.08,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.08,WEB corpus,both,WEB frequency,both
 SPECIES,ATRATULUS,RHINICHTHYS, GENUS,VTO ontology,is_a,13.03,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.03,WEB corpus,both,WEB frequency,both
 SPECIES,OSCULUS,RHINICHTHYS, GENUS,VTO ontology,is_a,12.41,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.41,WEB corpus,both,WEB frequency,both
 SPECIES,SPILOPTERA,CYPRINELLA, GENUS,VTO ontology,is_a,13,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13,WEB corpus,both,WEB frequency,both
 SPECIES,LUTRENSIS,CYPRINELLA, GENUS,VTO ontology,is_a,13.15,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.15,WEB corpus,both,WEB frequency,both
 SPECIES,ATROMACULATUS,SEMOTILUS, GENUS,VTO ontology,is_a,13.96,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.96,WEB corpus,both,WEB frequency,both
 SPECIES,PHOXINUS,PHOXINUS, GENUS,VTO ontology,is_a,13.89,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.89,WEB corpus,both,WEB frequency,both
 SPECIES,STRAMINEUS,NOTROPIS, GENUS,VTO ontology,is_a,11.8,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,11.8,WEB corpus,both,WEB frequency,both
 SPECIES,VOLUCELLUS,NOTROPIS, GENUS,VTO ontology,is_a,12.25,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.25,WEB corpus,both,WEB frequency,both
 SPECIES,HUDSONIUS,NOTROPIS, GENUS,VTO ontology,is_a,12.79,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,12.79,WEB corpus,both,WEB frequency,both
 SPECIES,CRYSOLEUCAS,NOTEMIGONUS, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.94,WEB corpus,both,WEB frequency,both
 SPECIES,PLUMBEUS,COUESIUS, GENUS,VTO ontology,is_a,13.97,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.97,WEB corpus,both,WEB frequency,both
 SPECIES,MARGARITA,MARGARISCUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both,WEB frequency,both
 SPECIES,BARBUS,BARBUS, GENUS,VTO ontology,is_a,13.9,WEB corpus,both,WEB salience, SPECIES, GENUS,VTO ontology,is_a,13.9,WEB corpus,both,WEB frequency,both
