source,target,hits,score,score.1,Hits,Score
CRANGON,SEPTEMSPINOSA,3.0,13.26,13.26,3.0,13.26
CRASSOSTREA,VIRGINICA,16.0,13.99,13.99,16.0,13.99
CRENICHTHYS,BAILEYI,1.0,13.99,13.99,1.0,13.99
CREPIDOSTOMUM,FARIONIS,5.0,13.99,13.99,5.0,13.99
CRYSTALLARIA,ASPRELLA,1.0,13.99,13.99,1.0,13.99
CTENOPHARYNGODON,IDELLUS,3.0,13.58,13.58,3.0,13.58
CULAEA,INCONSTANS,1.0,13.99,13.99,1.0,13.99
CULEX,GAMMARUS,1.0,13.41,13.41,1.0,13.41
CULICIDAE,MUSCIDAE,1.0,13.0,13.0,1.0,13.0
CYCLEPTUS,ELONGATUS,2.0,13.67,13.67,2.0,13.67
CYCLOPOIDA,CALANOIDA,1.0,13.41,13.41,1.0,13.41
CYCLOPTERUS,LUMPUS,1.0,13.99,13.99,1.0,13.99
CYMATOGASTER,AGGREGATA,4.0,13.99,13.99,4.0,13.99
CYNOSCION,REGALIS,5.0,13.99,13.99,5.0,13.99
CYPERUS,PAPYRUS,1.0,13.99,13.99,1.0,13.99
CYPRINELLA,LUTRENSIS,5.0,13.15,13.15,5.0,13.15
CYPRINELLA,SPILOPTERA,5.0,13.0,13.0,5.0,13.0
CYPRINUS,CARPIO,6.0,13.67,13.67,6.0,13.67
DALLIA,OSMERIDAE,1.0,13.41,13.41,1.0,13.41
DANIO,RERIO,18.0,13.96,13.96,18.0,13.96
DAPHNIA,KERATELLA,1.0,13.41,13.41,1.0,13.41
DAPHNIA,POLYARTHRA,1.0,13.41,13.41,1.0,13.41
DASCYLLUS,ARUANUS,1.0,13.99,13.99,1.0,13.99
DEROGENES,VARICUS,2.0,13.99,13.99,2.0,13.99
DIAPHANOSOMA,BRACHYURUM,3.0,13.58,13.58,3.0,13.58
DICENTRARCHUS,LABRAX,39.0,13.99,13.99,39.0,13.99
DIGENEA,CESTODA,2.0,13.41,13.41,2.0,13.41
DIPHYLLOBOTHRIUM,DITREMUM,4.0,13.99,13.99,4.0,13.99
DIPLOSTOMUM,PHOXINI,2.0,13.41,13.41,2.0,13.41
DIPLOSTOMUM,SPATHACEUM,2.0,13.41,13.41,2.0,13.41
DIXIDAE,CERATOPOGONIDAE,1.0,13.0,13.0,1.0,13.0
DIXIDAE,DOLICHOPODIDAE,1.0,13.0,13.0,1.0,13.0
DOLICHOPODIDAE,DIXIDAE,1.0,13.0,13.0,1.0,13.0
DOLICHOPODIDAE,EMPIDIDAE,1.0,13.0,13.0,1.0,13.0
DOROSOMA,CEPEDIANUM,14.0,13.67,13.67,14.0,13.67
DOROSOMA,PETENENSE,7.0,13.0,13.0,7.0,13.0
DREISSENA,POLYMORPHA,30.0,13.88,13.88,30.0,13.88
DROSOPHILA,MELANOGASTER,5.0,13.86,13.86,5.0,13.86
EGERIA,DENSA,2.0,13.67,13.67,2.0,13.67
EGERIA,POTAMOGETON,1.0,13.0,13.0,1.0,13.0
EGRETTA,GARZETTA,2.0,13.99,13.99,2.0,13.99
EICHORNIA,AZUREA,1.0,13.99,13.99,1.0,13.99
ELMIDAE,GYRINIDAE,1.0,13.41,13.41,1.0,13.41
ELODEA,CANADENSIS,17.0,13.69,13.69,17.0,13.69
ELVIRA,NICOLA,1.0,13.99,13.99,1.0,13.99
EMPIDIDAE,DOLICHOPODIDAE,1.0,13.41,13.41,1.0,13.41
ENGLISH,MARAENA,1.0,13.41,13.41,1.0,13.41
ENTOSPHENUS,TRIDENTATUS,5.0,13.86,13.86,5.0,13.86
EPHEMERELLA,BAETIS,2.0,13.99,13.99,2.0,13.99
EPHEMERELLIDAE,ELMIDAE,2.0,13.19,13.19,2.0,13.19
EPHEMEROPTERA,PLECOPTERA,19.0,13.31,13.31,19.0,13.31
EQUISETUM,EQUISETUM,1.0,13.41,13.41,1.0,13.41
EQUISETUM,PHRAGMITES,1.0,13.0,13.0,1.0,13.0
EREBI,PHILYPNODON,1.0,13.41,13.41,1.0,13.41
ERECTUM,RANUNCULUS,1.0,13.41,13.41,1.0,13.41
ERIMONAX,MONACHUS,1.0,13.99,13.99,1.0,13.99
ERIMYZON,OBLONGUS,4.0,13.99,13.99,4.0,13.99
ESOCIDAE,MASQUINONGY,2.0,13.41,13.41,2.0,13.41
EUBOTHRIUM,SALVELINI,20.0,13.99,13.99,20.0,13.99
EURYCERCUS,LAMELLATUS,12.0,13.99,13.99,12.0,13.99
FAGUS,SYLVATICA,7.0,13.8,13.8,7.0,13.8
FIN,AMEIURUS,1.0,13.99,13.99,1.0,13.99
FLAVOBACTERIUM,PSYCHROPHILUM,1.0,13.99,13.99,1.0,13.99
FORBESICHTHYS,AGASSIZI,1.0,13.99,13.99,1.0,13.99
FUNDULUS,HETEROCLITUS,33.0,13.8,13.8,33.0,13.8
GADUS,MORHUA,100.0,13.98,13.98,100.0,13.98
GAIRDNERI,TRUTLA,1.0,13.41,13.41,1.0,13.41
GALAXIAS,OLIDUS,28.0,13.38,13.38,28.0,13.38
GALAXIELLA,NIGROSTRIATA,1.0,13.99,13.99,1.0,13.99
GAMBUSIA,AFFINIS,26.0,13.47,13.47,26.0,13.47
GAMBUSIA,HOLBROOKI,19.0,13.18,13.18,19.0,13.18
GAMMARIDAE,ATYIDAE,1.0,13.0,13.0,1.0,13.0
GAMMARUS,LACUSTRIS,11.0,13.14,13.14,11.0,13.14
GAMMARUS,PULEX,12.0,13.0,13.0,12.0,13.0
GARCIA,SALT,2.0,13.41,13.41,2.0,13.41
GARIEPINUS,SILURIFORMES,1.0,13.41,13.41,1.0,13.41
GASTEROSTEUS,ACULEATUS,254.0,13.96,13.96,254.0,13.96
GASTROPODA,NEMATODA,12.0,13.37,13.37,12.0,13.37
GAVIA,ADAMSII,1.0,13.99,13.99,1.0,13.99
GEOPHAGUS,BRASILIENSIS,1.0,13.99,13.99,1.0,13.99
GILA,ATRARIA,4.0,13.41,13.41,4.0,13.41
GLOSSAMIA,APRION,1.0,13.99,13.99,1.0,13.99
GLYCERIA,MAXIMA,2.0,13.99,13.99,2.0,13.99
GOBIIDAE,ELEOTRIDINAE,1.0,13.41,13.41,1.0,13.41
GOBIOMORPHUS,COTIDIANUS,4.0,13.3,13.3,4.0,13.3
GOBIOMORPHUS,HUBBSI,3.0,13.0,13.0,3.0,13.0
GOBY,GOBIIDAE,1.0,13.99,13.99,1.0,13.99
GRUNNIENS,GOBIIDAE,1.0,13.41,13.41,1.0,13.41
GYMNOCEPHALUS,CERNUUS,55.0,13.8,13.8,55.0,13.8
GYRINIDAE,HALIPLIDAE,1.0,13.41,13.41,1.0,13.41
GYRODACTYLUS,SALARIS,24.0,13.83,13.83,24.0,13.83
HAEMULON,PLUMIERI,1.0,13.99,13.99,1.0,13.99
HALIAEETUS,LEUCOCEPHALUS,2.0,13.99,13.99,2.0,13.99
HALIOTIS,RUBRA,2.0,13.99,13.99,2.0,13.99
HALIPLIDAE,CURCULIONIDAE,1.0,13.41,13.41,1.0,13.41
HAPLOCHROMIS,BURTONI,2.0,13.99,13.99,2.0,13.99
HATCHERIA,MACRAEI,2.0,13.99,13.99,2.0,13.99
HEMICHROMIS,LETOURNEUXI,1.0,13.99,13.99,1.0,13.99
HEMIGRAMMUS,MARGINATUS,1.0,13.41,13.41,1.0,13.41
HEMIMYSIS,ANOMALA,5.0,13.99,13.99,5.0,13.99
HEPSETUS,ODOE,1.0,13.99,13.99,1.0,13.99
HETERANTHERA,DUBIA,1.0,13.99,13.99,1.0,13.99
HIODON,TERGISUS,3.0,13.77,13.77,3.0,13.77
HIPPOGLOSSOIDES,PLATESSOIDES,1.0,13.99,13.99,1.0,13.99
HIPPOGLOSSUS,HIPPOGLOSSUS,6.0,13.99,13.99,6.0,13.99
HIPPURIS,VULGARIS,1.0,13.0,13.0,1.0,13.0
HOLOPEDIUM,GIBBERUM,5.0,13.99,13.99,5.0,13.99
HOMOPTERA,ORTHOPTERA,1.0,13.41,13.41,1.0,13.41
HOPLIAS,MALABARICUS,5.0,13.99,13.99,5.0,13.99
HOPLOSTERNUM,LITTORALE,1.0,13.99,13.99,1.0,13.99
HUCHO,HUCHO,16.0,13.95,13.95,16.0,13.95
HYDRACARINA,CALANOIDA,1.0,13.0,13.0,1.0,13.0
HYDRACARINA,CYCLOPOIDA,1.0,13.0,13.0,1.0,13.0
HYDRILLA,VERTICILLATA,28.0,13.97,13.97,28.0,13.97
HYDROCYNUS,VITTATUS,2.0,13.67,13.67,2.0,13.67
