TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,data_source_y,_merge
,RHINOGOBIUS,AWAOUS,,,,13.41,WEB corpus,right_only
,GYMNOTRACHELUS,BABKA,,,,13.99,WEB corpus,right_only
,PLECOPTERA,BAETIDAE,,,,11,WEB corpus,right_only
,CINYGMULA,BAETIS,,,,13.41,WEB corpus,right_only
,EPHEMERELLA,BAETIS,,,,13,WEB corpus,right_only
,PERCINA,BAIRDI,,,,11.41,WEB corpus,right_only
,MACROCHEILUS,BAIRDII,,,,11.83,WEB corpus,right_only
 SPECIES,BALLERUS,BALLERUS, GENUS,VTO ontology,is_a,13.19,WEB corpus,both
,CARASSIUS,BALLERUS,,,,10.47,WEB corpus,right_only
,LOTA,BALTEATUS,,,,8.52,WEB corpus,right_only
,AURATUS,BARBATULA,,,,8.96,WEB corpus,right_only
 SPECIES,BARBATULA,BARBATULA, GENUS,VTO ontology,is_a,13.88,WEB corpus,both
,LOTA,BARBATULA,,,,8.5,WEB corpus,right_only
 SPECIES,BARBUS,BARBUS, GENUS,VTO ontology,is_a,13.9,WEB corpus,both
,CEPHALUS,BARBUS,,,,8.44,WEB corpus,right_only
 SPECIES,HAASI,BARBUS, GENUS,VTO ontology,is_a,10.04,WEB corpus,both
 SPECIES,MERIDIONALIS,BARBUS, GENUS,VTO ontology,is_a,10.04,WEB corpus,both
 SPECIES,NASUS,BARBUS, GENUS,VTO ontology,is_a,9.91,WEB corpus,both
,OCEANOGRAFIA,BIOLOGIA,,,,13.41,WEB corpus,right_only
,GOBIO,BIPUNCTATUS,,,,8.08,WEB corpus,right_only
,ACARI,BIVALVIA,,,,12.19,WEB corpus,right_only
,EPHEMEROPTERA,BIVALVIA,,,,10.82,WEB corpus,right_only
,MOLLUSCA,BIVALVIA,,,,11.83,WEB corpus,right_only
,UNIONIDAE,BIVALVIA,,,,12.68,WEB corpus,right_only
,CARASSIUS,BJOERKNA,,,,10.47,WEB corpus,right_only
 SPECIES,BJOERKNA,BLICCA, GENUS,VTO ontology,is_a,13.91,WEB corpus,both
,SQUALIUS,BOCAGEI,,,,12.19,WEB corpus,right_only
,2,BOSMINA,,,,12.68,WEB corpus,right_only
,BIOMASS,BOSMINA,,,,12.41,WEB corpus,right_only
,CERIODAPHNIA,BOSMINA,,,,10.68,WEB corpus,right_only
,CHYDORUS,BOSMINA,,,,12.79,WEB corpus,right_only
