parent,child,hits,score,score
,,sum,mean,median
CYPRINIDAE,SALMONIDAE,1.0,10.54,10.54
CYPRINIDAE,SPECIE,1.0,4.42,4.42
CYPRINIDAE,TELEOSTEI,1.0,11.19,11.19
CYPRINIDAE,UMBRIDAE,1.0,11.19,11.19
CYPRINIFORMES,CATOSTOMIDAE,1.0,13.41,13.41
CYPRINIFORMES,CYPRINIDAE,1.0,11.19,11.19
CYPRINOIDEA,APODES,1.0,13.99,13.99
CYPRINUS_CARPIO,ACANTHORUTILUS_HANDLIRSCHI,1.0,12.41,12.41
CYPRINUS_CARPIO,GOBIO_GOBIO,1.0,11.99,11.99
CYPRINUS_CARPIO,LINNAEUS,3.0,10.22,10.22
DAPHNIA,DROSOPHILA,2.0,12.68,12.68
DAPHNIA,PREY,5.0,10.024999999999999,10.024999999999999
DAPHNIA,ROTIFERA,1.0,11.54,11.54
DECAPODA,COPEPODA,1.0,10.82,10.82
DECAPODA,HOMOPTERA,1.0,13.41,13.41
DIAPTOMUS,EURYTEMORA,1.0,13.99,13.99
DIET,MACQUARIA_AMBIGUA,1.0,11.99,11.99
DIPLOMYSTIDAE,TRICHOMYCTERIDAE,1.0,12.68,12.68
DIPOREIA,CHIRONOMID,1.0,11.83,11.83
DIPTERA,ARANEIDA,1.0,10.0,10.0
DIPTERA,CHIRONOMIDAE,1.0,9.95,9.95
DIPTERA,CLADOCERA,1.0,9.87,9.87
DIPTERA,COLLEMBOLA,1.0,10.0,10.0
DIPTERA,DIET,1.0,11.3,11.3
DIPTERA,EPHEMEROPTERA,1.0,9.79,9.79
DIPTERA,FIG.,1.0,11.83,11.83
DIPTERA,HYMENOPTERA,1.0,9.91,9.91
DIPTERA,LAKE,1.0,11.54,11.54
DIPTERA,LARVA,17.0,10.3,10.3
DIPTERA,LEPOMIS,1.0,12.41,12.41
DIPTERA,MASS,1.0,12.41,12.41
DIPTERA,MEGALOPTERA,1.0,10.04,10.04
DIPTERA,SIMULIIDAE,2.0,10.95,10.95
DIPTERA,THYSANOPTERA,1.0,10.09,10.09
DIPTERA,TRICHOPTERA,2.0,10.38,10.38
DIXIDAE,RHAGIONIDAE,1.0,13.99,13.99
DOROSOMA,PIMEPHALES,1.0,12.41,12.41
DOROSOMA_CEPEDIANUM,DOROSOMA_SPP,1.0,12.41,12.41
DOROSOMA_CEPEDIANUM,MENIDIA_BERYLLINA,1.0,13.0,13.0
DOROSOMA_CEPEDIANUM,POMOXIS_ANNULARIS,1.0,13.0,13.0
DOROSOMA_PETENENSE,DOROSOMA_SPP,1.0,13.0,13.0
DROSOPHILA,LIRCEUS_FONTINALIS,1.0,13.99,13.99
DYTISCIDAE,ERPOBDELLIDAE_SPP,1.0,12.68,12.68
DYTISCIDAE,LARVA,1.0,6.3,6.3
EALES,FRIARS,1.0,13.41,13.41
EALES,HERBINGER,1.0,13.41,13.41
ECDYONURIDAE,HYDROPSYCHIDAE,1.0,13.41,13.41
EEL,AMMODYTES_TOBIANUS,1.0,7.21,7.21
EEL,ANGUILA_ANGUILA,1.0,7.21,7.21
EEL,ANGUILLA_ANGUILLA,109.0,13.36,13.36
EEL,ANGUILLA_AUSTRALIS,7.0,9.98,9.98
EEL,ANGUILLA_AUSTRALIS_SCHMIDTII,1.0,7.21,7.21
EEL,ANGUILLA_DIEFFENBACHII,3.0,8.78,8.78
EEL,ANGUILLA_JAPONICA,25.0,11.69,11.69
EEL,ANGUILLA_ROSTRATA,12.0,10.72,10.72
EEL,ANGUILLU_JUPONICA,1.0,7.21,7.21
EEL,COBITIS_PALUDICA,1.0,7.2,7.2
EEL,SINIPERCA_CHUATSI,1.0,7.2,7.2
EGERIA,SAGITTARIA,1.0,13.99,13.99
