source,target,hits,score,score.1,Hits,Score
CHAOBORUS,FLAVICANS,4.0,13.54,13.54,4.0,13.54
CHASMISTES,BREVIROSTRIS,6.0,13.77,13.77,6.0,13.77
CHASMODES,BOSQUIANUS,11.0,13.99,13.99,11.0,13.99
CHEIROGALEUS,MEDIUS,1.0,13.99,13.99,1.0,13.99
CHELON,LABROSUS,4.0,13.83,13.83,4.0,13.83
CHILINA,DOMBEIANA,1.0,13.99,13.99,1.0,13.99
CHIONOECETES,OPILIO,3.0,13.99,13.99,3.0,13.99
CHLAMYDOMONAS,REINHARDI,1.0,13.99,13.99,1.0,13.99
CHORTHIPPUS,PARALLELUS,2.0,13.99,13.99,2.0,13.99
CHROSOMUS,NEOGAEUS,1.0,13.99,13.99,1.0,13.99
CHRYSAORA,QUINQUECIRRHA,3.0,13.99,13.99,3.0,13.99
CHYDORUS,SPHAERICUS,13.0,13.89,13.89,13.0,13.89
CICHLASOMA,NIGROFASCIATUM,4.0,13.54,13.54,4.0,13.54
CICONIA,NIGRA,3.0,13.77,13.77,3.0,13.77
CILIATA,MUSTELA,4.0,13.83,13.83,4.0,13.83
CINCLUS,CINCLUS,3.0,13.77,13.77,3.0,13.77
CIONA,SAVIGNYI,1.0,13.99,13.99,1.0,13.99
CIRRIPEDIA,RADIATA,1.0,13.99,13.99,1.0,13.99
CITHARINIDAE,DISTICHODONTINAE,1.0,13.99,13.99,1.0,13.99
CLADOPHORA,GLOMERATA,1.0,13.99,13.99,1.0,13.99
CLANGULA,HYEMALIS,2.0,13.99,13.99,2.0,13.99
CLARIA,GARIEPUNUS,1.0,13.99,13.99,1.0,13.99
CLARIAS,GARIEPINUS,51.0,13.85,13.85,51.0,13.85
CLINOSTOMUS,ELONGATUS,10.0,13.56,13.56,10.0,13.56
CLUPEA,HARENGUS,83.0,13.8,13.8,83.0,13.8
CLYPEOBARBUS,BARBUS,1.0,13.99,13.99,1.0,13.99
CNESTERODON,DECEMMACULATUS,1.0,13.99,13.99,1.0,13.99
COBITIS,TAENIA,12.0,13.5,13.5,12.0,13.5
COCHLIOMYIA,HOMINIVORAX,1.0,13.99,13.99,1.0,13.99
COENAGRION,MERCURIALE,3.0,13.77,13.77,3.0,13.77
COLISA,LALIA,1.0,13.99,13.99,1.0,13.99
COLOSSOMA,MACROPOMUM,3.0,13.99,13.99,3.0,13.99
COLUMBIA,LIVIA,1.0,13.99,13.99,1.0,13.99
COLURELLA,ADRIATICA,1.0,13.99,13.99,1.0,13.99
