TAXRANK_target,target,TAXRANK_source,source,relations,hits,score,score.1,Hits,Score,_merge
 SPECIES,BJOERKNA, GENUS,BLICCA,PARENT-CHILD,14.0,13.48,13.48,14.0,13.48,both
 SPECIES,ERYTHROPHTHALMUS, GENUS,SCARDINIUS,PARENT-CHILD,29.0,13.72,13.72,29.0,13.72,both
 SPECIES,BRAMA, GENUS,ABRAMIS,PARENT-CHILD,54.0,13.81,13.81,54.0,13.81,both
 SPECIES,PROMELAS, GENUS,PIMEPHALES,PARENT-CHILD,11.0,13.06,13.06,11.0,13.06,both
 SPECIES,NOTATUS, GENUS,PIMEPHALES,PARENT-CHILD,11.0,12.57,12.57,11.0,12.57,both
 SPECIES,VIGILAX, GENUS,PIMEPHALES,PARENT-CHILD,8.0,12.68,12.68,8.0,12.68,both
 SPECIES,AESTIVALIS, GENUS,MACRHYBOPSIS,PARENT-CHILD,2.0,13.19,13.19,2.0,13.19,both
 SPECIES,MEEKI, GENUS,MACRHYBOPSIS,PARENT-CHILD,3.0,13.58,13.58,3.0,13.58,both
 SPECIES,EMILIAE, GENUS,OPSOPOEODUS,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41,both
 SPECIES,SOUFFIA, GENUS,TELESTES,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41,both
 SPECIES,ALBIPINNATUS, GENUS,ROMANOGOBIO,CHILD-PARENT,1.0,13.41,13.41,1.0,13.41,both
 SPECIES,TINCA, GENUS,TINCA,PARENT-CHILD,27.0,13.87,13.87,27.0,13.87,both
 SPECIES,BALLERUS, GENUS,BALLERUS,CHILD-PARENT,1.0,13.41,13.41,1.0,13.41,both
 SPECIES,RUTILUS, GENUS,RUTILUS,PARENT-CHILD,199.0,13.94,13.94,199.0,13.94,both
 SPECIES,ANOMALUM, GENUS,CAMPOSTOMA,PARENT-CHILD,16.0,13.99,13.99,16.0,13.99,both
 SPECIES,NASUS, GENUS,CHONDROSTOMA,PARENT-CHILD,21.0,13.32,13.32,21.0,13.32,both
 SPECIES,MOLITRIX, GENUS,HYPOPHTHALMICHTHYS,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99,both
 SPECIES,CARPIO, GENUS,CYPRINUS,PARENT-CHILD,2.0,13.19,13.19,2.0,13.19,both
 SPECIES,GIBELIO, GENUS,CARASSIUS,PARENT-CHILD,9.0,12.12,12.12,9.0,12.12,both
 SPECIES,CARASSIUS, GENUS,CARASSIUS,PARENT-CHILD,22.0,13.14,13.14,22.0,13.14,both
 SPECIES,AURATUS, GENUS,CARASSIUS,PARENT-CHILD,24.0,13.11,13.11,24.0,13.11,both
 SPECIES,PARVA, GENUS,PSEUDORASBORA,PARENT-CHILD,27.0,13.97,13.97,27.0,13.97,both
 SPECIES,CAROLITERTII, GENUS,SQUALIUS,PARENT-CHILD,4.0,12.04,12.04,4.0,12.04,both
 SPECIES,CEPHALUS, GENUS,SQUALIUS,PARENT-CHILD,12.0,12.12,12.12,12.0,12.12,both
 SPECIES,CEPHALUS, GENUS,SQUALIUS,PARENT-CHILD,12.0,12.12,12.12,12.0,12.12,both
 SPECIES,ARADENSIS, GENUS,SQUALIUS,PARENT-CHILD,4.0,12.04,12.04,4.0,12.04,both
 SPECIES,ASPIUS, GENUS,ASPIUS,PARENT-CHILD,7.0,13.9,13.9,7.0,13.9,both
 SPECIES,GRACILIS, GENUS,PLATYGOBIO,PARENT-CHILD,1.0,13.0,13.0,1.0,13.0,both
 SPECIES,CATARACTAE, GENUS,RHINICHTHYS,PARENT-CHILD,15.0,13.51,13.51,15.0,13.51,both
 SPECIES,OSCULUS, GENUS,RHINICHTHYS,PARENT-CHILD,8.0,12.87,12.87,8.0,12.87,both
 SPECIES,LUTRENSIS, GENUS,CYPRINELLA,PARENT-CHILD,9.0,12.33,12.33,9.0,12.33,both
 SPECIES,VENUSTA, GENUS,CYPRINELLA,PARENT-CHILD,24.0,13.47,13.47,24.0,13.47,both
 SPECIES,ATROMACULATUS, GENUS,SEMOTILUS,PARENT-CHILD,21.0,13.96,13.96,21.0,13.96,both
 SPECIES,PHOXINUS, GENUS,PHOXINUS,PARENT-CHILD,51.0,13.85,13.85,51.0,13.85,both
 SPECIES,CRYSOLEUCAS, GENUS,NOTEMIGONUS,PARENT-CHILD,3.0,13.77,13.77,3.0,13.77,both
 SPECIES,PLUMBEUS, GENUS,COUESIUS,PARENT-CHILD,5.0,13.99,13.99,5.0,13.99,both
 SPECIES,ROBUSTA, GENUS,GILA,PARENT-CHILD,7.0,13.64,13.64,7.0,13.64,both
 SPECIES,MARGARITA, GENUS,MARGARISCUS,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99,both
 SPECIES,BARBUS, GENUS,BARBUS,PARENT-CHILD,59.0,13.61,13.61,59.0,13.61,both
 SPECIES,CORNUTUS, GENUS,LUXILUS,PARENT-CHILD,3.0,13.26,13.26,3.0,13.26,both
 SPECIES,CHRYSOCEPHALUS, GENUS,LUXILUS,PARENT-CHILD,3.0,13.41,13.41,3.0,13.41,both
 SPECIES,ALBURNUS, GENUS,ALBURNUS,PARENT-CHILD,28.0,13.92,13.92,28.0,13.92,both
 SPECIES,VIMBA, GENUS,VIMBA,PARENT-CHILD,5.0,13.99,13.99,5.0,13.99,both
 SPECIES,EXILICAUDA, GENUS,LAVINIA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,GRANDIS, GENUS,PTYCHOCHEILUS,PARENT-CHILD,3.0,13.0,13.0,3.0,13.0,both
 SPECIES,ANGUILLICAUDATUS, GENUS,MISGURNUS,PARENT-CHILD,14.0,13.85,13.85,14.0,13.85,both
 SPECIES,FOSSILIS, GENUS,MISGURNUS,PARENT-CHILD,3.0,12.26,12.26,3.0,12.26,both
 SPECIES,PALUDICA, GENUS,COBITIS,PARENT-CHILD,8.0,13.35,13.35,8.0,13.35,both
 SPECIES,TAENIA, GENUS,COBITIS,PARENT-CHILD,7.0,13.16,13.16,7.0,13.16,both
 SPECIES,BARBATULA, GENUS,BARBATULA,PARENT-CHILD,16.0,13.95,13.95,16.0,13.95,both
 FAMILY,CATOSTOMIDAE, ORDER,CYPRINIFORMES,CHILD-PARENT,1.0,13.0,13.0,1.0,13.0,both
 SPECIES,VALENCIENNESI, GENUS,MOXOSTOMA,PARENT-CHILD,6.0,13.19,13.19,6.0,13.19,both
 SPECIES,CYPRINELLUS, GENUS,ICTIOBUS,PARENT-CHILD,1.0,13.0,13.0,1.0,13.0,both
 SPECIES,BUBALUS, GENUS,ICTIOBUS,PARENT-CHILD,2.0,13.67,13.67,2.0,13.67,both
 SPECIES,ELONGATUS, GENUS,CYCLEPTUS,PARENT-CHILD,2.0,13.41,13.41,2.0,13.41,both
 SPECIES,CATOSTOMUS, GENUS,CATOSTOMUS,PARENT-CHILD,10.0,12.54,12.54,10.0,12.54,both
 SPECIES,COMMERSONII, GENUS,CATOSTOMUS,PARENT-CHILD,10.0,12.54,12.54,10.0,12.54,both
 SPECIES,VELIFER, GENUS,CARPIODES,PARENT-CHILD,1.0,12.41,12.41,1.0,12.41,both
 SPECIES,CYPRINUS, GENUS,CARPIODES,PARENT-CHILD,4.0,13.83,13.83,4.0,13.83,both
 SPECIES,TEXANUS, GENUS,XYRAUCHEN,PARENT-CHILD,9.0,13.71,13.71,9.0,13.71,both
 SPECIES,TRIOSTEGUS, GENUS,ACANTHURUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,RUPESTRIS, GENUS,KUHLIA,PARENT-CHILD,5.0,12.62,12.62,5.0,12.62,both
 SPECIES,FOSTERI, GENUS,CHEIMARRICHTHYS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 FAMILY,PERCICHTHYIDAE, ORDER,PERCIFORMES,PARENT-CHILD,2.0,12.83,12.83,2.0,12.83,both
 SPECIES,AMBIGUA, GENUS,MACQUARIA,PARENT-CHILD,19.0,13.46,13.46,19.0,13.46,both
 SPECIES,AUSTRALASICA, GENUS,MACQUARIA,PARENT-CHILD,13.0,13.12,13.12,13.0,13.12,both
 SPECIES,TRUCHA, GENUS,PERCICHTHYS,PARENT-CHILD,2.0,13.67,13.67,2.0,13.67,both
 SPECIES,PEELII, GENUS,MACCULLOCHELLA,PARENT-CHILD,17.0,13.83,13.83,17.0,13.83,both
 SPECIES,FLABELLARE, GENUS,ETHEOSTOMA,PARENT-CHILD,17.0,12.06,12.06,17.0,12.06,both
 SPECIES,NIGRUM, GENUS,ETHEOSTOMA,PARENT-CHILD,17.0,12.08,12.08,17.0,12.08,both
 SPECIES,SPECTABILE, GENUS,ETHEOSTOMA,PARENT-CHILD,19.0,12.2,12.2,19.0,12.2,both
 SPECIES,TANASI, GENUS,PERCINA,PARENT-CHILD,7.0,12.9,12.9,7.0,12.9,both
 SPECIES,AUROLINEATA, GENUS,PERCINA,PARENT-CHILD,8.0,13.04,13.04,8.0,13.04,both
 SPECIES,LUCIOPERCA, GENUS,SANDER,PARENT-CHILD,24.0,12.44,12.44,24.0,12.44,both
 SPECIES,VITREUS, GENUS,SANDER,PARENT-CHILD,36.0,13.48,13.48,36.0,13.48,both
 SPECIES,CERNUUS, GENUS,GYMNOCEPHALUS,PARENT-CHILD,46.0,13.79,13.79,46.0,13.79,both
 SPECIES,FLAVESCENS, GENUS,PERCA,PARENT-CHILD,53.0,12.27,12.27,53.0,12.27,both
 SPECIES,FLUVIATILIS, GENUS,PERCA,PARENT-CHILD,230.0,13.66,13.66,230.0,13.66,both
 FAMILY,SPARIDAE, ORDER,PERCIFORMES,PARENT-CHILD,1.0,12.19,12.19,1.0,12.19,both
 SPECIES,AURATA, GENUS,SPARUS,CHILD-PARENT,4.0,13.99,13.99,4.0,13.99,both
 SPECIES,BUTCHERI, GENUS,ACANTHOPAGRUS,PARENT-CHILD,3.0,13.77,13.77,3.0,13.77,both
 SPECIES,LABRAX, GENUS,DICENTRARCHUS,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99,both
 GENUS,MORONE, FAMILY,MORONIDAE,CHILD-PARENT,3.0,13.26,13.26,3.0,13.26,both
 SPECIES,SAXATILIS, GENUS,MORONE,PARENT-CHILD,21.0,13.86,13.86,21.0,13.86,both
 SPECIES,DOLOMIEU, GENUS,MICROPTERUS,PARENT-CHILD,36.0,13.77,13.77,36.0,13.77,both
 SPECIES,NIGROMACULATUS, GENUS,POMOXIS,PARENT-CHILD,11.0,13.41,13.41,11.0,13.41,both
 SPECIES,ANNULARIS, GENUS,POMOXIS,PARENT-CHILD,9.0,13.17,13.17,9.0,13.17,both
 SPECIES,MACROCHIRUS, GENUS,LEPOMIS,PARENT-CHILD,56.0,13.14,13.14,56.0,13.14,both
 SPECIES,GIBBOSUS, GENUS,LEPOMIS,PARENT-CHILD,60.0,13.18,13.18,60.0,13.18,both
 SPECIES,RUPESTRIS, GENUS,AMBLOPLITES,PARENT-CHILD,15.0,13.69,13.69,15.0,13.69,both
 SPECIES,PERCOIDES, GENUS,AMNIATABA,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,FULIGINOSUS, GENUS,HEPHAESTUS,PARENT-CHILD,4.0,13.99,13.99,4.0,13.99,both
 SPECIES,BUTLERI, GENUS,SYNCOMISTES,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,SCRIBA, GENUS,SERRANUS,PARENT-CHILD,2.0,13.99,13.99,2.0,13.99,both
 SPECIES,OCELLATUS, GENUS,SCIAENOPS,PARENT-CHILD,2.0,13.41,13.41,2.0,13.41,both
 SPECIES,ELONGATUS, GENUS,PSEUDOTOLITHUS,CHILD-PARENT,1.0,12.68,12.68,1.0,12.68,both
 SPECIES,GRUNNIENS, GENUS,APLODINOTUS,PARENT-CHILD,6.0,13.77,13.77,6.0,13.77,both
 SPECIES,GRISEUS, GENUS,LUTJANUS,PARENT-CHILD,3.0,13.77,13.77,3.0,13.77,both
 SPECIES,NYEREREI, GENUS,PUNDAMILIA,PARENT-CHILD,5.0,13.32,13.32,5.0,13.32,both
 SPECIES,GUINEENSIS, GENUS,TILAPIA,PARENT-CHILD,5.0,13.07,13.07,5.0,13.07,both
 SPECIES,PULCHER, GENUS,NEOLAMPROLOGUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,BIFASCIATUM, GENUS,THALASSOMA,PARENT-CHILD,3.0,13.99,13.99,3.0,13.99,both
 SPECIES,ATTITI, GENUS,PROTOGOBIUS,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99,both
 SPECIES,HUTTONI, GENUS,GOBIOMORPHUS,PARENT-CHILD,3.0,12.33,12.33,3.0,12.33,both
 SPECIES,COTIDIANUS, GENUS,GOBIOMORPHUS,PARENT-CHILD,12.0,13.72,13.72,12.0,13.72,both
