source,target,hits sum,score mean,score median
MAXIMA,AUSTRALIS,1,9.16,9.16
MEGALOPTERA,BIVALVIA,1,11.41,11.41
MEGALOPTERA,SIALIDAE,1,12.41,12.41
MEGALOPTERA,TIPULIDAE,1,12.41,12.41
MERGUS,ALBELLUS,1,10.09,10.09
MICROPERCA,NIGRUM,1,11.99,11.99
MICROPTERUS,NAMAYCUSH,1,6.91,6.91
MICROPTERUS,PERCINA,1,8.57,8.57
MICROPTERUS,SPP,1,8.33,8.33
MISGURNUS,FOSSILIS,1,11.09,11.09
MOLITRIX,NOBILIS,1,11.54,11.54
MOLLUSCA,ANNELIDA,1,11.19,11.19
MOLLUSCA,CHAOBORUS,1,11.41,11.41
MOLLUSCA,CRUSTACEA,1,11,11
MONOGENEA,DIGENEA,1,10.91,10.91
MORDAX,PERCINA,1,11.54,11.54
MORDAX,PSEUDOHARENGUS,1,9.02,9.02
MORHUA,AEGLEFINUS,1,10.35,10.35
MORHUA,GADIDAE,1,11.83,11.83
MORHUA,LINNAEUS,1,8.07,8.07
MORONE,CRYSOLEUCAS,1,8.62,8.62
MORONE,PERCA,1,8.75,8.75
MUSCIDAE,EPHYDRIDAE,1,13.99,13.99
MYKISS,FONTINALIS,1,7.13,7.13
MYKISS,KISUTCH,1,7.22,7.22
MYKISS,LOTA,1,8.34,8.34
MYKISS,PERCINA,1,11.19,11.19
MYRIOPHYLLUM,ALGA,1,13,13
MYRIOPHYLLUM,CERATOPHYLLUM,1,8.98,8.98
MYRIOPHYLLUM,DETRITUS,1,12.68,12.68
MYRIOPHYLLUM,MYRIOPHYLLUM,1,8.93,8.93
MYRIOPHYLLUM,REFUGE,1,13,13
MYSIDAE,BIVALVIA,1,11.99,11.99
NAMAYCUSH,SALMONIDAE,1,9.75,9.75
NASUS,BARBATULA,1,10.47,10.47
NASUS,SALAR,1,5.43,5.43
NASUS,TINCA,1,9.61,9.61
NEBULOSUS,CYANELLUS,1,10.47,10.47
NEMATODA,ANNELIDA,1,11.67,11.67
NEMATODA,HIRUDINEA,1,11.19,11.19
NEMATODA,HYMENOPTERA,1,10.91,10.91
NEMERTEA,HIRUDINEA,1,11.99,11.99
NEMOURIDAE,TRICHOPTERA,1,10.24,10.24
NEOCHANNA,APODA,1,12.68,12.68
NEOCHANNA,BURROWSIUS,1,12.68,12.68
NEOGAEUS,NOTATUS,1,10.82,10.82
NEOGOBIUS,KESSLERI,1,8.54,8.54
NEOGOBIUS,MARMORATUS,1,8.31,8.31
NEOLAMPROLOGUS,PULCHER,1,13.99,13.99
NEOVISON,VISON,1,13,13
NERKA,GORBUSCHA,1,9.24,9.24
NILOTICUS,MACROCHIRUS,1,8.35,8.35
NOBILIS,AFFINIS,1,10.19,10.19
NOCOMIS,MICROPOGON,1,12.41,12.41
NOTROPIS,CORNUTUS,1,9.35,9.35
NOTROPIS,EMILIAE,1,9.57,9.57
NOTROPIS,PHOTOGENIS,1,9.64,9.64
NOTROPIS,SPILOPTERUS,1,9.64,9.64
NOTURUS,FLAVUS,1,13.41,13.41
NOTURUS,FURCATUS,1,11.3,11.3
NUPHAR,CAREX,1,11.09,11.09
NYMPHAEA,NUPHAR,1,12.41,12.41
ODOE,VITTATUS,1,13,13
ODONATA,BIVALVIA,1,11.41,11.41
ODONATA,CHIRONOMIDAE,1,11.3,11.3
ODONATA,GASTROPODA,1,11.99,11.99
ODONATA,HEMIPTERA,1,11.83,11.83
ODONATA,PLECOPTERA,1,9.87,9.87
OLIGOCHAETA,EPHEMEROPTERA,1,10.54,10.54
OLIGOCHAETA,TRICHOPTERA,1,9.91,9.91
ONCHORHYNCHUS,CLARKI,1,8.93,8.93
ONCHORHYNCHUS,TSHAWYTSCHA,1,7.45,7.45
ONCORHYCHUS,TSHAWYTSCHA,1,7.66,7.66
ONCORHYNCHUS,COULTERII,1,4.58,4.58
ONCORHYNCHUS,PERCINA,1,11.09,11.09
ONCORHYNCHUS,SALMONIDAE,1,4.55,4.55
ONCORHYNCHUS,SPP,1,4.55,4.55
ONCORHYNCUS,NERKA,1,7.35,7.35
OPSOPOEODUS,EMILIAE,1,13,13
ORTHOPTERA,DIPTERA,1,10.19,10.19
ORTHOPTERA,HEMIPTERA,1,11.99,11.99
OSMERIDAE,EPERLANUS,1,13.41,13.41
OSMERIDAE,OSMERUS,1,13.41,13.41
OSMERUS,PERCINA,1,8.6,8.6
OSTEICHTHYES,CHARACIFORMES,1,11.99,11.99
OSTEICHTHYES,GOBIIDAE,1,11.83,11.83
OSTEICHTHYES,PERCIFORMES,1,11.99,11.99
OSTEICHTHYES,SALMONIDAE,1,9.67,9.67
OSTEICHTHYES,SCIAENIDAE,1,11.41,11.41
OSTRACODA,CLADOCERA,1,12.41,12.41
OSTRACODA,HYDRACARINA,1,13,13
OTOLITHS,PIG,1,13.99,13.99
PACIFICUS,SALMONIDAE,1,9.91,9.91
PAGRUS,NAMAYCUSH,1,7.32,7.32
PALAEMONIDAE,DECAPODA,1,11.99,11.99
PARALICHTHYS,LETHOSTIGMA,1,9.87,9.87
PARVA,IDELLUS,1,12.68,12.68
PECES,CONTINENTALES,1,13.99,13.99
PECTORALIS,OSMERIDAE,1,13.41,13.41
PELLUCIDA,ETHEOSTOMA,1,13.41,13.41
PERCA,ABRAMIS,1,11.54,11.54
PERCA,BRAMA,1,11.54,11.54
PERCA,STIZOSTEDION,1,5.59,5.59
PERCA,UMBLA,1,11.67,11.67
PERCAFLUVIATILIS,ASPIUS,1,10.41,10.41
PERCH,FLAVESCENS,1,12.68,12.68
PERCIDAE,GASTEROSTEIDAE,1,12.19,12.19
PERCIDAE,PERCIDAE,1,12.41,12.41
PERCIDAE,SALMONIDAE,1,9.83,9.83
PERCIFORMES,MORONIDAE,1,11.83,11.83
PERCIFORMES,PERCICHTHYIDAE,1,12.19,12.19
PERCINA,CANADENSIS,1,9.71,9.71
PERCINA,EVIDES,1,11.09,11.09
PERCINA,NIGROFASCIATA,1,11.09,11.09
PERCINA,PHOXOCEPHALA,1,11.09,11.09
PERCINA,VITREUM,1,9.16,9.16
PERLODIDAE,LEUCTRIDAE,1,13.41,13.41
PETROMYZON,LETHENTERON,1,7,7
PETROMYZON,LINNEAUS,1,6.95,6.95
PHALACROCORAX,ARISTOTELIS,1,13.41,13.41
PHALACROCORAX,CARBO,1,13.41,13.41
PHOXINUS,BIPUNCTATUS,1,12.68,12.68
PHRAGMITES,CAREX,1,11.3,11.3
PHRAGMITES,CYPERUS,1,13.41,13.41
PHRAGMITES,SCIRPUS,1,11.67,11.67
PHYSA,GYRAULUS,1,13.99,13.99
PHYSIDAE,PLANORBIDAE,1,13.99,13.99
PIMEPHALES,VIGILAX,1,9.79,9.79
PLAN,NONE,1,12.68,12.68
PLANORBIDAE,SPHAERIIDAE,1,13,13
PLATESSA,LIMANDA,1,11.67,11.67
PLATICHTHYS,STELLATUS,1,11.83,11.83
PLATYGOBIO,GRACILIS,1,13.99,13.99
PLECOPTERA,COLLEMBOLA,1,11.19,11.19
PLECOPTERA,HYMENOPTERA,1,10.47,10.47
PLUMBEUS,SPILOPTERA,1,11.99,11.99
POLYCENTROPODIDAE,GLOSSOSOMATIDAE,1,13.41,13.41
POLYCENTROPODIDAE,LIMNEPHILIDAE,1,12.68,12.68
POLYGONUM,HYDRILLA,1,13.99,13.99
POMATOSCHISTUS,MICROPS,1,11,11
POMOXIS,SPP,1,9.06,9.06
PORICHTHYS,NOTATUS,1,10.82,10.82
POSTHODIPLOSTOMUM,CUTICOLA,1,13.99,13.99
POSTVECTIS,BREVIPINNIS,1,12.19,12.19
POTAMOGETON,CERATOPHYLLUM,1,11.3,11.3
POTAMOGETON,ILLINOENSIS,1,11.41,11.41
POTAMOGETON,MYRIOPHYLLUM,1,11.09,11.09
POTAMOGETON,NATANS,1,11.41,11.41
POTAMOGETON,POLYGONUM,1,11.41,11.41
PROMELAS,CATARACTAE,1,11,11
PROMELAS,PROMELAS,1,10.3,10.3
PROTERORHINUS,SEMILUNARIS,1,11.54,11.54
PSEUDOBARBUS,BURCHELLI,1,13.99,13.99
PSEUDOCHONDROSTOMA,POLYLEPIS,1,13.41,13.41
PSYCHOMYIIDAE,PHILOPOTAMIDAE,1,13.99,13.99
PUNCTATUS,LUCIUS,1,6.43,6.43
PUNCTATUS,MORONE,1,13,13
PUNGITIUS,ACULEATUS,1,6.97,6.97
PYGOCENTRUS,NATTERERI,1,13.99,13.99
PYGOSTEUS,PUNGITUS,1,11.83,11.83
RECOVERY,PTYCHOCHEILUS,1,12.68,12.68
RETICULATA,GIBBOSUS,1,8.52,8.52
RETICULATA,POECILIIDAE,1,12.68,12.68
RETROPINNA,MACULATUS,1,11.67,11.67
RHINOGOBIUS,GIURINUS,1,13,13
RHODEUS,AMARUS,1,12.41,12.41
RHODEUS,OCELLATUS,1,10.75,10.75
RHYACOPHILIDAE,POLYCENTROPODIDAE,1,13.41,13.41
RICEI,THOMPSONII,1,10.09,10.09
ROTIFERA,PROTOZOA,1,13.99,13.99
ROUND,GYRAULUS,1,12.68,12.68
ROUND,PHYSA,1,12.68,12.68
RUBELLUS,STRAMINEUS,1,12.19,12.19
RUPESTRIS,RUPESTRIS,1,10.47,10.47
RUTILIS,RUTILUS,1,6.93,6.93
RUTILUS,BJOERKNA,1,9.71,9.71
RUTILUS,ERYTHROPHTHALMUS,1,9.06,9.06
RUTILUS,FOOD,1,11.83,11.83
RUTILUS,PLANT,1,12.19,12.19
RUTILUS,RERIO,1,10.04,10.04
RUTILUS,RUBILIO,1,6.95,6.95
SAGITTARIA,LATIFOLIA,1,11.83,11.83
SAGITTARIA,MYRIOPHYLLUM,1,12.41,12.41
SALAR,COGNATUS,1,8.54,8.54
SALAR,SALMONIDAE,1,9.27,9.27
SALMO,FONTINALIS,1,4.1,4.1
SALMO,PERCINA,1,10.82,10.82
SALMO,SQUALIUS,1,4.27,4.27
SALMONIDAE,COREGONIDAE,1,12.68,12.68
SALMONIDAE,COTTIDAE,1,11.3,11.3
SALMONIDAE,LEUCOMAENIS,1,10.41,10.41
SALMONIDAE,ONCORHYNCHUS,1,10.41,10.41
SALMONIDAE,OSTEICHTHYES,1,12.41,12.41
SALMONIDAE,SALVELINUS,1,10,10
SALMONIDAE,THYMALLUS,1,10.41,10.41
SALVELINUS,SALMONIDAE,1,4.87,4.87
SALVELINUS,THYMALLUS,1,4.78,4.78
SANDER,OMISCOMAYCUS,1,11.41,11.41
SANDER,PERCINA,1,11.19,11.19
SANDER,PERCOPSIS,1,11.41,11.41
SANDER,VITREUM,1,7.5,7.5
SAPROLEGNIA,PARASITICA,1,13.99,13.99
SAXATILIS,MORONE,1,13.41,13.41
SCAPHIRHYNCHUS,ALBUS,1,13.99,13.99
SCARDINIUS,FOOD,1,11.83,11.83
SCARDINIUS,PLANT,1,12.19,12.19
SCARDINUS,ERYTHROPHTHALMUS,1,9.35,9.35
SCIAENIDAE,TELEOSTEI,1,12.19,12.19
SCIOMYZIDAE,CERATOPOGONIDAE,1,13.41,13.41
SCIRPUS,CAREX,1,12.19,12.19
SCORPAENIFORMES,COTTUS,1,13.41,13.41
SEBASTES,SPP,1,10.3,10.3
SEMOTILUS,LIMI,1,10.14,10.14
SERRASALMUS,EICHHORNIA,1,13.99,13.99
SICYOPTERUS,STIMPSONI,1,13.99,13.99
SILLAGO,CILIATA,1,13.99,13.99
SILURIFORMES,ARIIDAE,1,12.68,12.68
SILURIFORMES,CLARIIDAE,1,12.41,12.41
SILURIFORMES,ICTALURIDAE,1,11.83,11.83
SILURIFORMES,TRICHOMYCTERIDAE,1,12.41,12.41
SIMULIIDAE,DIPTERA,1,10.24,10.24
SIMULIIDAE,HOMOPTERA,1,12.19,12.19
SIMULIIDAE,HYMENOPTERA,1,11.3,11.3
SIPHLONURIDAE,HEPTAGENIIDAE,1,13.99,13.99
SPARGANIUM,RANUNCULUS,1,13.41,13.41
SPARIDAE,TELEOSTEI,1,12.19,12.19
SPECTABILE,ZONALE,1,12.19,12.19
SPHOEROIDES,ANNULATUS,1,13.99,13.99
SPP,SPP,1,10.3,10.3
SQUALIUS,ALBURNOIDES,1,10.24,10.24
STAPHYLINIDAE,DIPTERA,1,10.35,10.35
STICKLEBACK,ACULEATUS,1,13.99,13.99
STIZOSTEDION,GYMNOCEPHALUS,1,8.55,8.55
STREBER,CERNUUS,1,9.16,9.16
TABANIDAE,LACUSTRIS,1,10.91,10.91
TABANIDAE,TURBELLARIA,1,13.41,13.41
TAENIA,GLANIS,1,9.64,9.64
TAENIOPTERYGIDAE,LEUCTRIDAE,1,13.41,13.41
TELEOSTEI,CLARIIDAE,1,11.54,11.54
TELEOSTEI,GADIDAE,1,11.09,11.09
TELEOSTEI,LETHRINIDAE,1,11.67,11.67
TERRESTRIAL,EPHEMEROPTERA,1,13.41,13.41
THALEICHTHYS,SALMONIDAE,1,9.44,9.44
THYMALLUS,GADIDAE,1,7.53,7.53
THYMALLUS,LINNAEUS,1,6.82,6.82
THYMALLUS,NAMAYCUSH,1,7.33,7.33
THYMALLUS,PHOXINUS,1,9.14,9.14
THYMALLUS,RUTILUS,1,6.89,6.89
TILAPIA,GUINEENSIS,1,11.19,11.19
TINCA,GLANIS,1,9.57,9.57
TIPULIDAE,HOMOPTERA,1,12.41,12.41
TIPULIDAE,PLECOPTERA,1,10,10
TRANSMONTANUS,HIODON,1,12.68,12.68
TRANSMONTANUS,PERCA,1,11.99,11.99
TREMATODA,DIPLOSTOMATIDAE,1,11.99,11.99
TRICHOPTERA,COLEOPTERA,1,10.19,10.19
TRICHOPTERA,HETEROPTERA,1,10.35,10.35
TRICHOPTERA,HIRUDINEA,1,10.24,10.24
TRICHOPTERA,HYDROPSYCHIDAE,1,10.6,10.6
TRICHOPTERA,ODONATA,1,10.35,10.35
TRICHOPTERA,OLIGOCHAETA,1,10.47,10.47
TRICHOPTERA,POLYCENTROPODIDAE,1,10.54,10.54
TRICHOPTERA,RHYACOPHILIDAE,1,10.6,10.6
TRIDENTATUS,CLUPEIDAE,1,13.41,13.41
TRINECTES,MACULATUS,1,11.67,11.67
TROUT,DIPTERA,1,11.67,11.67
TROUT,LEPIDOPTERA,1,11.67,11.67
TRUTTA,CLARKII,1,9.83,9.83
TRUTTA,LINNEAUS,1,10.14,10.14
TRUTTA,PERCINA,1,11,11
TRUTTA,SQUALIUS,1,10.35,10.35
TSCHAWYTSCHA,KISUTCH,1,7.3,7.3
TSHAWYTSCHA,COULTERII,1,11.67,11.67
TURBELLARIA,OSTRACODA,1,13,13
TYPHA,CYPERUS,1,13.41,13.41
TYPHA,PHRAGMITES,1,11.99,11.99
UMATILLA,VITREUS,1,9.32,9.32
UMBRIDAE,LIMI,1,11.41,11.41
UTRICULARIA,VULGARIS,1,13,13
VELIIDAE,NOTONECTIDAE,1,13.99,13.99
VICTORIA,ARGENTEA,1,11.09,11.09
VICTORIA,HAPLOCHROMINE,1,11.99,11.99
VICTORIA,NYANZA,1,11.99,11.99
VITREUM,FLAVESCENS,1,7.89,7.89
VITREUS,COMMERSONII,1,11.19,11.19
VITREUS,OMISCOMAYCUS,1,11.41,11.41
VITREUS,PERCINA,1,11.19,11.19
VITREUS,PERCOPSIS,1,11.41,11.41
VITTATUS,PUNCTATUS,1,8.98,8.98
VOLUCELLUS,EMILIAE,1,13,13
VOLUME,CHAOBORUS,1,13.99,13.99
VULGARIS,SPICATUM,1,9.06,9.06
WHITEFISH,LAVARETUS,1,11.83,11.83
ZOOPLANKTIVORE,GASTEROSTEUS,1,13.99,13.99
