source,target,hits sum,score mean,score median
LEPOMIS,GULOSUS,7,9.88,9.88
LEPOMIS,MICROLOPHUS,7,9.94,9.94
LUCIUS,LINNAEUS,7,9.305,9.305
NOTROPIS,VOLUCELLUS,7,12.25,12.25
ORCONECTES,RUSTICUS,7,13.22,13.22
PERCA,LINNAEUS,7,8.16,8.16
PHRAGMITES,AUSTRALIS,7,11.78,11.78
PLATICHTHYS,FLESUS,7,13.8,13.8
PLECOPTERA,TRICHOPTERA,7,12.51,12.51
PODICEPS,CRISTATUS,7,13.99,13.99
POECILIA,LATIPINNA,7,13,13
PYGOSTEUS,PUNGITIUS,7,11.83,11.83
PYLODICTIS,OLIVARIS,7,13.99,13.99
RHINICHTHYS,OSCULUS,7,12.41,12.41
SALAR,LINNAEUS,7,10.68,10.68
SALMO,CLARKI,7,7.05,7.05
SALVELINUS,WILLUGHBII,7,7.71,7.71
THYMALLUS,SALMONIDAE,7,9.755,9.755
TRICHOPTERA,EPHEMEROPTERA,7,12.45,12.45
BREVOORTIA,TYRANNUS,6,13.99,13.99
BYTHOTREPHES,LONGIMANUS,6,13.99,13.99
CERNUUS,CERNUA,6,11.97,11.97
CHIRONOMUS,PLUMOSUS,6,13.5,13.5
COTTUS,GULOSUS,6,9.23,9.23
CYPRINUS,CARPIO,6,13.67,13.67
ETHEOSTOMA,NIGRUM,6,12.02,12.02
ICHTHYOMYZON,FOSSOR,6,13.88,13.88
LATEOLABRAX,JAPONICUS,6,13.99,13.99
MACCULLOCHELLA,PEELII,6,13.67,13.67
MACQUARIA,AMBIGUA,6,12.09,12.09
MARGARISCUS,MARGARITA,6,13.99,13.99
MICROPTERUS,PUNCTULATUS,6,11.2,11.2
MOLLUSCA,NEMATODA,6,12.58,12.58
MOXOSTOMA,MACROLEPIDOTUM,6,13.26,13.26
MYLOCHEILUS,CAURINUS,6,13.99,13.99
ONCORHYNCHUS,RHODURUS,6,7.16,7.16
PLEURONECTES,AMERICANUS,6,11.88,11.88
PROSOPIUM,CYLINDRACEUM,6,12.45,12.45
SALVELINUS,SPP,6,7.46,7.46
SANDER,CANADENSIS,6,10.23,10.23
TILAPIA,RENDALLI,6,13.33,13.33
UMBRA,LIMI,6,13.67,13.67
[NUMBER],PARR,6,11.37,11.37
[NUMBER],SALMO,6,11.35,11.35
ALOSA,CHRYSOCHLORIS,5,10.09,10.09
ANGUILLA,REINHARDTII,5,8.53,8.53
APOLLONIA,MELANOSTOMA,5,13.73,13.73
BOSMINA,CHYDORUS,5,12.79,12.79
CHONDROSTOMA,TOXOSTOMA,5,12.41,12.41
CLONORCHIS,SINENSIS,5,13.99,13.99
COREGONUS,SARDINELLA,5,8.35,8.35
CYNOSCION,REGALIS,5,13.99,13.99
CYPRINELLA,LUTRENSIS,5,13.15,13.15
CYPRINELLA,SPILOPTERA,5,13,13
DREISSENA,BUGENSIS,5,11.99,11.99
DROSOPHILA,MELANOGASTER,5,13.86,13.86
ENGRAULIS,ENCRASICOLUS,5,12.62,12.62
ENTOSPHENUS,TRIDENTATUS,5,13.86,13.86
ETHEOSTOMA,ZONALE,5,11.8,11.8
GALAXIAS,BREVIPINNIS,5,11.34,11.34
HEMIMYSIS,ANOMALA,5,13.99,13.99
HOLOPEDIUM,GIBBERUM,5,13.99,13.99
HOPLIAS,MALABARICUS,5,13.99,13.99
ICTIOBUS,CYPRINELLUS,5,13.62,13.62
LAMPETRA,RICHARDSONI,5,9.09,9.09
LEPTOCOTTUS,ARMATUS,5,13.99,13.99
LEUCISCUS,ASPIUS,5,10.23,10.23
NOTROPIS,STRAMINEUS,5,11.8,11.8
ONCORHYNCUS,MYKISS,5,7.85,7.85
PARVICAPSULA,MINIBICORNIS,5,13.99,13.99
PERCINA,MACULATA,5,12.92,12.92
PROCAMBARUS,CLARKII,5,12.86,12.86
PROSOPIUM,COULTERII,5,12.07,12.07
PSEUDORASBORA,PARVA,5,13.73,13.73
PTYCHOCHEILUS,LUCIUS,5,8.65,8.65
SALMO,SALVELINUS,5,6.59,6.59
SALMONIDAE,COREGONUS,5,12.07,12.07
SALMONIDAE,SALMO,5,12.27,12.27
SALMONIFORMES,SALMONIDAE,5,12.07,12.07
TYPHA,LATIFOLIA,5,13.62,13.62
ACANTHOPAGRUS,SCHLEGELI,4,13.67,13.67
ALOSA,AESTIVALIS,4,9.76,9.76
ANOPLOPOMA,FIMBRIA,4,13.99,13.99
CATOSTOMIDAE,SALMONIDAE,4,11.64,11.64
CHAOBORUS,FLAVICANS,4,13.83,13.83
CHIRONOMIDAE,DIPTERA,4,11.71,11.71
COREGONUS,FONTANAE,4,8.03,8.03
COREGONUS,OXYRINCHUS,4,8.03,8.03
COREGONUS,SPP,4,7.97,7.97
COREGONUS,ZENITHICUS,4,8.03,8.03
CRANGON,CRANGON,4,13.54,13.54
CYPRINIFORMES,CYPRINIDAE,4,11.055,11.055
DAPHNIA,BOSMINA,4,11.35,11.35
DAPHNIA,SPP,4,10.89,10.89
EPHEMEROPTERA,TRICHOPTERA,4,11.17,11.17
ERIMYZON,OBLONGUS,4,13.99,13.99
ESOX,AMERICANUS,4,8.24,8.24
ETHEOSTOMA,CAERULEUM,4,11.54,11.54
GALAXIAS,FASCIATUS,4,11.02,11.02
GALAXIAS,POSTVECTIS,4,11.06,11.06
GILA,ATRARIA,4,13.41,13.41
GOBIOMORPHUS,COTIDIANUS,4,13.3,13.3
LEPISOSTEUS,OSSEUS,4,13.41,13.41
