[VR]||58916|San Pedro Martir trout|553430|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||59880|Little Kern golden trout|591704|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||61173|salmons|161929|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||61174|salmons|161931|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||61175|trouts|161931|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||61180|Pacific salmon|161974|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||61181|redband trout|161989|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||61450|vertebrates|331030|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||61451|chordates|158852|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||78738|animals|202423|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||84647|truite arc-en-ciel|161989|French|N|,,,,,,,,,,,,,,,,,,,,
[VR]||85484|cordado|158852|Portuguese|N|,,,,,,,,,,,,,,,,,,,,
[VR]||85537|Animal|202423|Portuguese|N|,,,,,,,,,,,,,,,,,,,,
[VR]||85539|vertebrado|331030|Portuguese|N|,,,,,,,,,,,,,,,,,,,,
[VR]||85840|cordés|158852|French|N|,,,,,,,,,,,,,,,,,,,,
[VR]||85850|poisson épineux|161061|French|N|,,,,,,,,,,,,,,,,,,,,
[VR]||85851|poissons à nageoires rayonnées|161061|French|N|,,,,,,,,,,,,,,,,,,,,
[VR]||85859|saumons|161929|French|N|,,,,,,,,,,,,,,,,,,,,
[VR]||86042|animaux|202423|French|N|,,,,,,,,,,,,,,,,,,,,
[VR]||86045|vertébrés|331030|French|N|,,,,,,,,,,,,,,,,,,,,
[VR]||87049|steelhead|161989|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||98919|trouts and salmons|161931|English|N|,,,,,,,,,,,,,,,,,,,,
[VR]||98920|truchas y salmones|161931|Spanish|N|,,,,,,,,,,,,,,,,,,,,
[VR]||98921|truites et saumons|161931|French|N|,,,,,,,,,,,,,,,,,,,,
[VR]||98926|trucha arcoiris|161989|Spanish|N|,,,,,,,,,,,,,,,,,,,,
[JR]|Alaska|Native & Introduced|161989|,,,,,,,,,,,,,,,,,,,,
[JR]|Alaska|Native|553422|,,,,,,,,,,,,,,,,,,,,
[JR]|Alaska|Native|553430|,,,,,,,,,,,,,,,,,,,,
[JR]|Canada|Native & Introduced|161989|,,,,,,,,,,,,,,,,,,,,
[JR]|Canada|Native|553430|,,,,,,,,,,,,,,,,,,,,
[JR]|Continental US|Native & Introduced|161989|,,,,,,,,,,,,,,,,,,,,
[JR]|Continental US|Native|553418|,,,,,,,,,,,,,,,,,,,,
[JR]|Continental US|Native|553420|,,,,,,,,,,,,,,,,,,,,
[JR]|Continental US|Native|553421|,,,,,,,,,,,,,,,,,,,,
[JR]|Continental US|Native|553422|,,,,,,,,,,,,,,,,,,,,
[JR]|Continental US|Native|591704|,,,,,,,,,,,,,,,,,,,,
[JR]|Continental US|Native|914087|,,,,,,,,,,,,,,,,,,,,
[JR]|Hawaii|Introduced|161989|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26055|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26072|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26077|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26078|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26079|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26080|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26081|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26082|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26083|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26084|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26085|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26087|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26094|,,,,,,,,,,,,,,,,,,,,
[CL]||161989|26105|,,,,,,,,,,,,,,,,,,,,
[CL]||553420|21591|,,,,,,,,,,,,,,,,,,,,
[CL]||553420|6060|,,,,,,,,,,,,,,,,,,,,
[CL]||591704|6059|,,,,,,,,,,,,,,,,,,,,
[CL]||591704|9946|,,,,,,,,,,,,,,,,,,,,
[CL]||633905|11970|,,,,,,,,,,,,,,,,,,,,
[CL]||914087|26102|,,,,,,,,,,,,,,,,,,,,
[CL]||914089|26051|,,,,,,,,,,,,,,,,,,,,
[CL]||914092|26108|,,,,,,,,,,,,,,,,,,,,
[CL]||914094|21591|,,,,,,,,,,,,,,,,,,,,
[CM]|11970|T.M. Orrell, ITIS Taxonomic Expert|Common literature misspelling of Oncorhynchus mykiss (Walbaum, 1792)|2004-07-06 10:52:28|,,,,,,,,,,,,,,,,,,
[CM]|21591|David F. Mitchell, ITIS Data Development Specialist|US ESA: Potential candidate without sufficient data on vulnerability, as published in Federal Register Volume 59, Number 219, Pages 58982 - 59028, November 15, 1994|2011-05-27 13:26:03|,,,,,,,,,,,,,,
[CM]|26051|David F. Mitchell, ITIS Data Development Specialist|US ESA: Petition to list as threatened or endangered not substantial according to 90-day petition finding, as published in Federal Register Volume 60, Number 187, Pages 49819 - 49821, September 27, 1995|2013-08-14 11:58:37|,,,,,,,,,,,,,,
[CM]|26055|David F. Mitchell, ITIS Data Development Specialist|US ESA: Proposal to list as threatened withdrawn for the Oregon Coast Evolutionarily Significant Unit because threats have been reduced, as published in Federal Register Volume 63, Number 53, Pages 13347 - 13371, March 19, 1998|2013-08-14 11:58:37|,,,,,,,,,,,,,,
[CM]|26072|David F. Mitchell, ITIS Data Development Specialist|US ESA: Proposal to list as threatened withdrawn for the Klamath Mountains Province Evolutionarily Significant Unit because threats have been reduced, as published in Federal Register Volume 66, Number 65, Pages 17845 - 17856, April 04, 2001|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|26077|David F. Mitchell, ITIS Data Development Specialist|US ESA: The California Central Valley distinct population segment listed Threatened, as published in Federal Register Volume 71, Number 3, Pages 834 - 862, January 05, 2006|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|26078|David F. Mitchell, ITIS Data Development Specialist|US ESA: The Middle Columbia River distinct population segment listed Threatened, as published in Federal Register Volume 71, Number 3, Pages 834 - 862, January 05, 2006|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|26079|David F. Mitchell, ITIS Data Development Specialist|US ESA: The Southern California distinct population segment listed Endangered, as published in Federal Register Volume 71, Number 3, Pages 834 - 862, January 05, 2006|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|26080|David F. Mitchell, ITIS Data Development Specialist|US ESA: The Upper Willamette River distinct population segment listed Threatened, as published in Federal Register Volume 71, Number 3, Pages 834 - 862, January 05, 2006|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|26081|David F. Mitchell, ITIS Data Development Specialist|US ESA: The Lower Columbia River distinct population segment listed Threatened, as published in Federal Register Volume 71, Number 3, Pages 834 - 862, January 05, 2006|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|26082|David F. Mitchell, ITIS Data Development Specialist|US ESA: The Snake River Basin distinct population segment listed Threatened, as published in Federal Register Volume 71, Number 3, Pages 834 - 862, January 05, 2006|2013-08-14 11:58:38|,,,,,,,,,,,,,,
[CM]|26083|David F. Mitchell, ITIS Data Development Specialist|US ESA: The South-Central California Coast distinct population segment listed Threatened, as published in Federal Register Volume 71, Number 3, Pages 834 - 862, January 05, 2006|2013-08-14 11:58:38|,,,,,,,,,,,,,,
