source,target,relations,hits,score,score.1,Hits,Score
CALANOIDA,CLADOCERA,CHILD-PARENT,1.0,12.19,12.19,1.0,12.19
CALLITRICHE,BATRACHIUM,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
CAMPOSTOMA,ANOMALUM,PARENT-CHILD,16.0,13.99,13.99,16.0,13.99
CANADENSIS,ESOX,PARENT-CHILD,1.0,11.67,11.67,1.0,11.67
CANADENSIS,LUCIUS,PARENT-CHILD,1.0,11.67,11.67,1.0,11.67
CANADENSIS,SANDER,PARENT-CHILD,1.0,11.99,11.99,1.0,11.99
CANADENSIS,VITREUS,PARENT-CHILD,1.0,11.99,11.99,1.0,11.99
CARASSIUS,AURATUS,PARENT-CHILD,24.0,13.11,13.11,24.0,13.11
CARASSIUS,CARASSIUS,PARENT-CHILD,22.0,13.14,13.14,22.0,13.14
CARASSIUS,GIBELIO,PARENT-CHILD,9.0,12.12,12.12,9.0,12.12
CARP,CYPRINUS,CHILD-PARENT,1.0,13.99,13.99,1.0,13.99
CARPIODES,CYPRINUS,PARENT-CHILD,4.0,13.83,13.83,4.0,13.83
CARPIODES,VELIFER,PARENT-CHILD,1.0,12.41,12.41,1.0,12.41
CASTOR,CANADENSIS,CHILD-PARENT,9.0,13.47,13.47,9.0,13.47
CATARINA,CORREIA,PARENT-CHILD,1.0,13.99,13.99,1.0,13.99
CATONOTUS,ETHEOSTOMA,CHILD-PARENT,1.0,13.41,13.41,1.0,13.41
CATOSTOMIDAE,MORONIDAE,PARENT-CHILD,1.0,13.41,13.41,1.0,13.41
CATOSTOMIDAE,TELEOSTEI,PARENT-CHILD,1.0,11.99,11.99,1.0,11.99
CATOSTOMUS,CATOSTOMUS,PARENT-CHILD,10.0,12.54,12.54,10.0,12.54
CATOSTOMUS,CLARKII,PARENT-CHILD,3.0,10.65,10.65,3.0,10.65
CATOSTOMUS,COMMERSONI,PARENT-CHILD,10.0,12.57,12.57,10.0,12.57
CATOSTOMUS,COMMERSONII,PARENT-CHILD,10.0,12.54,12.54,10.0,12.54
CATOSTOMUS,DISCOBOLUS,PARENT-CHILD,3.0,11.03,11.03,3.0,11.03
CATOSTOMUS,LATIPINNIS,PARENT-CHILD,3.0,11.03,11.03,3.0,11.03
CATOSTOMUS,MACROCHEILUS,PARENT-CHILD,3.0,11.03,11.03,3.0,11.03
CEPEDIANUM,ANNULARIS,PARENT-CHILD,1.0,11.3,11.3,1.0,11.3
CEPEDIANUM,BERYLLINA,PARENT-CHILD,1.0,11.99,11.99,1.0,11.99
CERATOPHYLLUM,DEMERSUM,PARENT-CHILD,2.0,13.41,13.41,2.0,13.41
