source,target,score.1,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
ETHEOSTOMA,SPECTABILE,10.54,2.0,10.54,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,SWAINI,9.64,1.0,9.64,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,WHIPPLEI,9.61,1.0,9.61,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHEOSTOMA,ZONALE,11.8,5.0,11.8,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,DIAPHANUS,12.13,7.0,12.13,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,HETEROCLITUS,13.8,33.0,13.8,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,NOTATUS,10.68,3.0,10.68,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GADIDAE,LOTA,8.5,1.0,8.5,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
GADOPSIS,MARMORATUS,10.91,1.0,10.91,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GADUS,MORHUA,13.98,100.0,13.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,ARGENTEUS,10.68,3.0,10.68,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,AURATUS,8.08,1.0,8.08,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,BREVIPINNIS,11.34,5.0,11.34,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,FASCIATUS,11.02,4.0,11.02,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,MACULATUS,11.76,7.0,11.76,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,OLIDUS,13.38,28.0,13.38,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,PAUCISPONDYLUS,9.14,1.0,9.14,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,PLATEI,9.14,1.0,9.14,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,POSTVECTIS,11.06,4.0,11.06,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,TRUTTACEUS,10.11,2.0,10.11,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,VULGARIS,9.09,1.0,9.09,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GAMBUSIA,AFFINIS,13.47,26.0,13.47,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GAMBUSIA,GEISERI,10.35,2.0,10.35,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GASTEROSTEUS,ACULEATUS,13.96,254.0,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GEOTRIA,AUSTRALIS,10.14,2.0,10.14,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GILA,ATRARIA,13.41,4.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GILA,CYPHA,12.68,2.0,12.68,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GILA,ROBUSTA,12.68,2.0,12.68,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIO,GOBIO,12.68,30.0,12.68,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIOMORPHUS,COTIDIANUS,13.3,4.0,13.3,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIOMORPHUS,HUBBSI,13.0,3.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIOMORPHUS,HUTTONI,12.54,2.0,12.54,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GYMNOCEPHALUS,CERNUUS,13.8,55.0,13.8,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HATCHERIA,MACRAEI,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEMIGRAMMUS,MARGINATUS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEPSETUS,ODOE,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HIPPOGLOSSOIDES,PLATESSOIDES,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HOPLIAS,MALABARICUS,13.99,5.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
