TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,Hits,Score,data_source_y,_merge
 SPECIES,PLUMBEUS,COUESIUS, GENUS,VTO ontology,is_a,13.97,30.0,13.97,WEB corpus,both
 SPECIES,ATRARIA,GILA, GENUS,VTO ontology,is_a,13.41,4.0,13.41,WEB corpus,both
 SPECIES,CYPHA,GILA, GENUS,VTO ontology,is_a,12.68,2.0,12.68,WEB corpus,both
 SPECIES,ROBUSTA,GILA, GENUS,VTO ontology,is_a,12.68,2.0,12.68,WEB corpus,both
 SPECIES,MARGARITA,MARGARISCUS, GENUS,VTO ontology,is_a,13.99,6.0,13.99,WEB corpus,both
 SPECIES,MIRABILIS,PHENACOBIUS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,BARBUS,BARBUS, GENUS,VTO ontology,is_a,13.9,28.0,13.9,WEB corpus,both
 SPECIES,CORNUTUS,LUXILUS, GENUS,VTO ontology,is_a,13.75,8.0,13.75,WEB corpus,both
 SPECIES,ALBURNUS,ALBURNUS, GENUS,VTO ontology,is_a,13.85,29.0,13.85,WEB corpus,both
 SPECIES,VIMBA,VIMBA, GENUS,VTO ontology,is_a,13.41,18.0,12.69,WEB corpus,both
 SPECIES,EXILICAUDA,LAVINIA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,OREGONENSIS,PTYCHOCHEILUS, GENUS,VTO ontology,is_a,13.55,18.0,13.55,WEB corpus,both
 SPECIES,GRANDIS,PTYCHOCHEILUS, GENUS,VTO ontology,is_a,12.71,8.0,12.71,WEB corpus,both
 SPECIES,ANGUILLICAUDATUS,MISGURNUS, GENUS,VTO ontology,is_a,13.94,13.0,13.94,WEB corpus,both
 SPECIES,CALDERONI,COBITIS, GENUS,VTO ontology,is_a,13.21,9.0,13.21,WEB corpus,both
 SPECIES,TAENIA,COBITIS, GENUS,VTO ontology,is_a,13.5,12.0,13.5,WEB corpus,both
 SPECIES,BARBATULA,BARBATULA, GENUS,VTO ontology,is_a,13.88,17.0,13.88,WEB corpus,both
 SPECIES,MACROLEPIDOTUM,MOXOSTOMA, GENUS,VTO ontology,is_a,13.26,6.0,13.26,WEB corpus,both
 SPECIES,CYPRINELLUS,ICTIOBUS, GENUS,VTO ontology,is_a,13.62,5.0,13.62,WEB corpus,both
 SPECIES,BUBALUS,ICTIOBUS, GENUS,VTO ontology,is_a,13.12,3.0,13.12,WEB corpus,both
 SPECIES,ELONGATUS,CYCLEPTUS, GENUS,VTO ontology,is_a,13.67,2.0,13.67,WEB corpus,both
 SPECIES,NIGRICANS,HYPENTELIUM, GENUS,VTO ontology,is_a,13.99,3.0,13.99,WEB corpus,both
 SPECIES,OBLONGUS,ERIMYZON, GENUS,VTO ontology,is_a,13.99,4.0,13.99,WEB corpus,both
 SPECIES,CATOSTOMUS,CATOSTOMUS, GENUS,VTO ontology,is_a,12.68,18.0,12.68,WEB corpus,both
 SPECIES,VELIFER,CARPIODES, GENUS,VTO ontology,is_a,13.19,2.0,13.19,WEB corpus,both
 SPECIES,CYPRINUS,CARPIODES, GENUS,VTO ontology,is_a,13.58,3.0,13.58,WEB corpus,both
 SPECIES,TEXANUS,XYRAUCHEN, GENUS,VTO ontology,is_a,13.58,3.0,13.58,WEB corpus,both
 SPECIES,ANNULATUS,SPHOEROIDES, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,JAPONICUS,LATEOLABRAX, GENUS,VTO ontology,is_a,13.99,6.0,13.99,WEB corpus,both
 SPECIES,SANDVICENSIS,KUHLIA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,FOSTERI,CHEIMARRICHTHYS, GENUS,VTO ontology,is_a,13.77,3.0,13.77,WEB corpus,both
 SPECIES,MULTICINCTUS,CHAETODON, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,AUSTRALASICA,MACQUARIA, GENUS,VTO ontology,is_a,13.84,31.0,13.84,WEB corpus,both
 SPECIES,AUSTRALIS,NANNOPERCA, GENUS,VTO ontology,is_a,13.62,37.0,13.62,WEB corpus,both
 SPECIES,TRUCHA,PERCICHTHYS, GENUS,VTO ontology,is_a,13.99,8.0,13.99,WEB corpus,both
 SPECIES,MACQUARIENSIS,MACCULLOCHELLA, GENUS,VTO ontology,is_a,13.0,3.0,13.0,WEB corpus,both
 SPECIES,PEELII,MACCULLOCHELLA, GENUS,VTO ontology,is_a,13.67,6.0,13.67,WEB corpus,both
 SPECIES,MACULATA,PERCINA, GENUS,VTO ontology,is_a,12.92,5.0,12.92,WEB corpus,both
 SPECIES,LUCIOPERCA,SANDER, GENUS,VTO ontology,is_a,13.32,85.0,13.32,WEB corpus,both
 SPECIES,VITREUS,SANDER, GENUS,VTO ontology,is_a,12.97,46.0,12.97,WEB corpus,both
 SPECIES,CERNUUS,GYMNOCEPHALUS, GENUS,VTO ontology,is_a,13.8,55.0,13.8,WEB corpus,both
 SPECIES,AURATA,SPARUS, GENUS,VTO ontology,is_a,13.96,19.0,13.96,WEB corpus,both
 SPECIES,BUTCHERI,ACANTHOPAGRUS, GENUS,VTO ontology,is_a,13.0,2.0,13.0,WEB corpus,both
 SPECIES,LABRAX,DICENTRARCHUS, GENUS,VTO ontology,is_a,13.99,39.0,13.99,WEB corpus,both
 SPECIES,SAXATILIS,MORONE, GENUS,VTO ontology,is_a,13.75,52.0,13.75,WEB corpus,both
 SPECIES,CHRYSOPS,MORONE, GENUS,VTO ontology,is_a,12.57,16.0,12.57,WEB corpus,both
 SPECIES,DOLOMIEU,MICROPTERUS, GENUS,VTO ontology,is_a,13.69,52.0,13.69,WEB corpus,both
 SPECIES,NIGROMACULATUS,POMOXIS, GENUS,VTO ontology,is_a,13.57,23.0,13.57,WEB corpus,both
 SPECIES,ANNULARIS,POMOXIS, GENUS,VTO ontology,is_a,13.0,12.0,13.0,WEB corpus,both
 SPECIES,MACROCHIRUS,LEPOMIS, GENUS,VTO ontology,is_a,13.25,97.0,13.25,WEB corpus,both
 SPECIES,GIBBOSUS,LEPOMIS, GENUS,VTO ontology,is_a,13.05,81.0,13.05,WEB corpus,both
 SPECIES,RUPESTRIS,AMBLOPLITES, GENUS,VTO ontology,is_a,13.96,21.0,13.96,WEB corpus,both
 SPECIES,CILIATA,SILLAGO, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 FAMILY,SCIAENIDAE,PERCIFORMES, ORDER,VTO ontology,is_a,13.54,4.0,13.54,WEB corpus,both
 SPECIES,POLITUS,SERIPHUS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,OCELLATUS,SCIAENOPS, GENUS,VTO ontology,is_a,13.88,12.0,13.88,WEB corpus,both
 SPECIES,REGALIS,CYNOSCION, GENUS,VTO ontology,is_a,13.99,5.0,13.99,WEB corpus,both
 SPECIES,GRUNNIENS,APLODINOTUS, GENUS,VTO ontology,is_a,13.99,13.0,13.99,WEB corpus,both
 SPECIES,GRISEUS,LUTJANUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,PARTITUS,STEGASTES, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,RENDALLI,TILAPIA, GENUS,VTO ontology,is_a,13.33,6.0,13.33,WEB corpus,both
 SPECIES,PULCHER,NEOLAMPROLOGUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,BIFASCIATUM,THALASSOMA, GENUS,VTO ontology,is_a,13.99,4.0,13.99,WEB corpus,both
 SPECIES,HUBBSI,GOBIOMORPHUS, GENUS,VTO ontology,is_a,13.0,3.0,13.0,WEB corpus,both
 SPECIES,HUTTONI,GOBIOMORPHUS, GENUS,VTO ontology,is_a,12.54,2.0,12.54,WEB corpus,both
 SPECIES,COTIDIANUS,GOBIOMORPHUS, GENUS,VTO ontology,is_a,13.3,4.0,13.3,WEB corpus,both
 SPECIES,STIMPSONI,SICYOPTERUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,MINUTUS,POMATOSCHISTUS, GENUS,VTO ontology,is_a,13.94,14.0,13.94,WEB corpus,both
 SPECIES,GUAMENSIS,AWAOUS, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,OBSCURUS,TRIDENTIGER, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,GIURINUS,RHINOGOBIUS, GENUS,VTO ontology,is_a,13.0,1.0,13.0,WEB corpus,both
 SPECIES,BRUNNEUS,RHINOGOBIUS, GENUS,VTO ontology,is_a,13.67,2.0,13.67,WEB corpus,both
 SPECIES,MELANOSTOMUS,NEOGOBIUS, GENUS,VTO ontology,is_a,13.94,83.0,13.94,WEB corpus,both
 SPECIES,MARMORATUS,PROTERORHINUS, GENUS,VTO ontology,is_a,13.47,9.0,13.47,WEB corpus,both
 SPECIES,ARMATUS,LEPTOCOTTUS, GENUS,VTO ontology,is_a,13.99,5.0,13.99,WEB corpus,both
 SPECIES,SCORPIUS,MYOXOCEPHALUS, GENUS,VTO ontology,is_a,13.37,34.0,13.37,WEB corpus,both
