TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,Hits,Score,data_source_y,_merge
 SPECIES,ALBICOLLIS,FICEDULA, GENUS,VTO ontology,is_a,11.83,1.0,11.83,WEB corpus,both
 SPECIES,CAURINUS,CORVUS, GENUS,VTO ontology,is_a,11.83,1.0,11.83,WEB corpus,both
 SPECIES,RUSTICA,HIRUNDO, GENUS,VTO ontology,is_a,13.99,5.0,13.99,WEB corpus,both
 SPECIES,DOMESTICUS,PASSER, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,VULGARIS,STURNUS, GENUS,VTO ontology,is_a,11.75,2.0,11.75,WEB corpus,both
 SPECIES,PENDULINUS,REMIZ, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,ANGUSTIROSTRIS,MARMARONETTA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,FERINA,AYTHYA, GENUS,VTO ontology,is_a,12.83,2.0,12.83,WEB corpus,both
 SPECIES,FULIGULA,AYTHYA, GENUS,VTO ontology,is_a,12.83,2.0,12.83,WEB corpus,both
 SPECIES,MARILA,AYTHYA, GENUS,VTO ontology,is_a,12.41,1.0,12.41,WEB corpus,both
 SPECIES,SERRATOR,MERGUS, GENUS,VTO ontology,is_a,12.26,6.0,12.26,WEB corpus,both
 SPECIES,MERGANSER,MERGUS, GENUS,VTO ontology,is_a,13.85,28.0,13.85,WEB corpus,both
 SPECIES,CLANGULA,BUCEPHALA, GENUS,VTO ontology,is_a,13.73,5.0,13.73,WEB corpus,both
 SPECIES,OLOR,CYGNUS, GENUS,VTO ontology,is_a,13.91,15.0,13.91,WEB corpus,both
 SPECIES,ATRATUS,CYGNUS, GENUS,VTO ontology,is_a,10.82,1.0,10.82,WEB corpus,both
 SPECIES,HYEMALIS,CLANGULA, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,LEUCOCEPHALA,OXYURA, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,HISTRIONICUS,HISTRIONICUS, GENUS,VTO ontology,is_a,13.99,1.0,13.99,WEB corpus,both
 SPECIES,PERSPICILLATA,MELANITTA, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,NIGRA,MELANITTA, GENUS,VTO ontology,is_a,12.41,1.0,12.41,WEB corpus,both
 SPECIES,PLATYRHYNCHOS,ANAS, GENUS,VTO ontology,is_a,12.54,2.0,12.54,WEB corpus,both
 SPECIES,PLATYRHYNCHOS,ANAS, GENUS,VTO ontology,is_a,12.54,2.0,12.54,WEB corpus,both
 SPECIES,PLATYRHYNCHOS,ANAS, GENUS,VTO ontology,is_a,12.54,2.0,12.54,WEB corpus,both
 SPECIES,PLATYRHYNCHOS,ANAS, GENUS,VTO ontology,is_a,12.54,2.0,12.54,WEB corpus,both
 SPECIES,PLATYRHYNCHOS,ANAS, GENUS,VTO ontology,is_a,12.54,2.0,12.54,WEB corpus,both
 SPECIES,CRECCA,ANAS, GENUS,VTO ontology,is_a,13.51,5.0,13.51,WEB corpus,both
 SPECIES,MOLLISSIMA,SOMATERIA, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,BERNICLA,BRANTA, GENUS,VTO ontology,is_a,13.99,3.0,13.99,WEB corpus,both
 SPECIES,HALIAETUS,PANDION, GENUS,VTO ontology,is_a,13.99,3.0,13.99,WEB corpus,both
 SPECIES,LEUCOCEPHALUS,HALIAEETUS, GENUS,VTO ontology,is_a,13.99,2.0,13.99,WEB corpus,both
 SPECIES,APRICARIA,PLUVIALIS, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,SQUATAROLA,PLUVIALIS, GENUS,VTO ontology,is_a,13.0,1.0,13.0,WEB corpus,both
 SPECIES,SEMIPALMATUS,CHARADRIUS, GENUS,VTO ontology,is_a,13.41,1.0,13.41,WEB corpus,both
 SPECIES,HIATICULA,CHARADRIUS, GENUS,VTO ontology,is_a,13.0,1.0,13.0,WEB corpus,both
 SPECIES,THAYERI,LARUS, GENUS,VTO ontology,is_a,11.99,1.0,11.99,WEB corpus,both
 SPECIES,CANUS,LARUS, GENUS,VTO ontology,is_a,13.54,4.0,13.54,WEB corpus,both
 SPECIES,ARGENTATUS,LARUS, GENUS,VTO ontology,is_a,12.68,2.0,12.68,WEB corpus,both
 SPECIES,ELEGANS,STERNA, GENUS,VTO ontology,is_a,13.0,1.0,13.0,WEB corpus,both
