filter,VTO_total,WEB_total,VTO_not_in_WEB,WEB_not_in_VTO,VTO_in_WEB,%_only_in_VTO,%_only_in_WEB,%_common_vs_VTO,%_common_WEB
WEB_WEBGNRD_sal_over9.0.csv,107028.0,3634.0,105982.0,2603.0,1031.0,99.02268565235266,71.62905888827737,0.9632993235415033,28.37094111172262
WEB_WEBGNRD_sal_over2.0.csv,107028.0,4014.0,105875.0,2876.0,1138.0,98.92271181373098,71.64922770303936,1.0632731621631724,28.350772296960635
WEB_WEBGNRD_rel_over55.csv,107028.0,44.0,106986.0,2.0,42.0,99.96075793250364,4.545454545454546,0.039242067496356094,95.45454545454545
WEB_WEBGNRD_rel_over30.csv,107028.0,85.0,106956.0,13.0,72.0,99.93272788429196,15.294117647058824,0.06727211570803902,84.70588235294117
WEB_WEBGNRD_rel_over50.csv,107028.0,51.0,106980.0,3.0,48.0,99.9551519228613,5.88235294117647,0.04484807713869268,94.11764705882352
WEB_WEBGNRD_sal_over11.5.csv,107028.0,2660.0,106201.0,1846.0,814.0,99.22730500429793,69.3984962406015,0.7605486414769966,30.601503759398497
WEB_WEBGNRD_sal_over7.5.csv,107028.0,3813.0,105932.0,2732.0,1081.0,98.97596890533319,71.64961972200368,1.0100160705609746,28.35038027799633
WEB_WEBGNRD_sal_over10.5.csv,107028.0,3145.0,106088.0,2220.0,925.0,99.12172515603393,70.58823529411765,0.8642598198602235,29.411764705882355
WEB_WEBGNRD_sal_over6.5.csv,107028.0,3892.0,105911.0,2790.0,1102.0,98.95634787158501,71.68550873586845,1.0296371043091528,28.314491264131554
WEB_WEBGNRD_rel_over35.csv,107028.0,73.0,106965.0,10.0,63.0,99.94113689875547,13.698630136986301,0.05886310124453414,86.3013698630137
WEB_WEBGNRD_sal_over4.5.csv,107028.0,3996.0,105876.0,2859.0,1137.0,98.92364614867137,71.54654654654654,1.0623388272227827,28.453453453453452
WEB_WEBGNRD_sal_over13.0.csv,107028.0,1600.0,106480.0,1057.0,543.0,99.4879844526666,66.0625,0.507343872631461,33.9375
WEB_WEBGNRD_sal_over2.5.csv,107028.0,4014.0,105875.0,2876.0,1138.0,98.92271181373098,71.64922770303936,1.0632731621631724,28.350772296960635
WEB_WEBGNRD_sal_over12.0.csv,107028.0,2249.0,106301.0,1533.0,716.0,99.32073849833688,68.16362827923521,0.6689838173188325,31.836371720764784
WEB_WEBGNRD_rel_over85.csv,107028.0,26.0,107003.0,1.0,25.0,99.97664162649026,3.8461538461538463,0.02335837350973577,96.15384615384616
WEB_WEBGNRD_rel_over0.csv,107028.0,4014.0,105875.0,2876.0,1138.0,98.92271181373098,71.64922770303936,1.0632731621631724,28.350772296960635
WEB_WEBGNRD_rel_over75.csv,107028.0,31.0,106998.0,1.0,30.0,99.97196995178832,3.225806451612903,0.028030048211682923,96.7741935483871
WEB_WEBGNRD_rel_over90.csv,107028.0,24.0,107005.0,1.0,23.0,99.97851029637104,4.166666666666666,0.02148970362895691,95.83333333333334
WEB_WEBGNRD_sal_over0.5.csv,107028.0,4014.0,105875.0,2876.0,1138.0,98.92271181373098,71.64922770303936,1.0632731621631724,28.350772296960635
WEB_WEBGNRD_sal_over9.5.csv,107028.0,3472.0,106014.0,2473.0,999.0,99.05258437044512,71.22695852534562,0.9334006054490415,28.773041474654377
WEB_WEBGNRD_sal_over3.0.csv,107028.0,4014.0,105875.0,2876.0,1138.0,98.92271181373098,71.64922770303936,1.0632731621631724,28.350772296960635
WEB_WEBGNRD_sal_over7.0.csv,107028.0,3861.0,105922.0,2770.0,1091.0,98.96662555592928,71.74307174307174,1.019359419964869,28.256928256928255
WEB_WEBGNRD_sal_over5.5.csv,107028.0,3968.0,105881.0,2836.0,1132.0,98.92831782337332,71.47177419354838,1.0576671525208357,28.528225806451612
WEB_WEBGNRD_rel_over95.csv,107028.0,23.0,107006.0,1.0,22.0,99.97944463131144,4.3478260869565215,0.02055536868856748,95.65217391304348
WEB_WEBGNRD_sal_over5.0.csv,107028.0,3983.0,105880.0,2850.0,1133.0,98.92738348843292,71.55410494602059,1.058601487461225,28.445895053979413
WEB_WEBGNRD_rel_over70.csv,107028.0,33.0,106996.0,1.0,32.0,99.97010128190755,3.0303030303030303,0.029898718092461786,96.96969696969697
WEB_WEBGNRD_sal_over12.5.csv,107028.0,1922.0,106381.0,1286.0,636.0,99.39548529356804,66.90946930280958,0.594237022087678,33.09053069719043
