source,target,score.1,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
MERGUS,MERGANSER,13.85,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MERLANGIUS,MERLANGUS,13.93,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MICROPOGONIAS,UNDULATUS,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MICROPTERUS,DOLOMIEU,13.65,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MISGURNUS,ANGUILLICAUDATUS,13.84,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MORONE,CHRYSOPS,12.6,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MORONE,SAXATILIS,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MUGIL,CEPHALUS,11.63,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MYOXOCEPHALUS,SCORPIUS,13.17,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
MYOXOCEPHALUS,THOMPSONII,12.9,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
NANNOPERCA,AUSTRALIS,13.52,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
NEOGOBIUS,MELANOSTOMUS,13.94,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
NORMANICHTHYS,CROCKERI,13.95,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
NOTEMIGONUS,CRYSOLEUCAS,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
NOTROPIS,HUDSONIUS,12.55,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
NOTURUS,GYRINUS,13.45,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,AGUABONITA,7.88,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,CLARKII,8.01,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,GORBUSCHA,10.21,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,KETA,10.34,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,KISUTCH,11.98,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,MYKISS,13.34,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,NERKA,11.89,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ONCORHYNCHUS,TSHAWYTSCHA,11.69,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ORCINUS,ORCA,11.92,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
OREOCHROMIS,AUREUS,12.13,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
OREOCHROMIS,MOSSAMBICUS,12.87,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
OREOCHROMIS,NILOTICUS,12.79,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
OSMERUS,EPERLANUS,13.31,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
OSMERUS,MORDAX,13.28,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PARALICHTHYS,DENTATUS,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PARALICHTHYS,OLIVACEUS,13.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PERCA,FLAVESCENS,12.4,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PERCA,FLUVIATILIS,10.72,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PERCOPSIS,OMISCOMAYCUS,13.87,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PETROMYZON,MARINUS,13.95,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PHALACROCORAX,AURITUS,13.79,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PHOXINUS,PHOXINUS,13.86,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PIMEPHALES,NOTATUS,12.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PIMEPHALES,PROMELAS,13.59,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PLAGIOSCION,SQUAMOSISSIMUS,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PLEURONECTES,PLATESSA,13.7,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
POECILIA,RETICULATA,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
POMATOSCHISTUS,MINUTUS,13.52,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
POMOXIS,ANNULARIS,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
POMOXIS,NIGROMACULATUS,13.57,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PROSOPIUM,WILLIAMSONI,13.36,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PSETTA,MAXIMA,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
PSEUDOPLEURONECTES,AMERICANUS,13.17,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
