TAXRANK_target,target,source,TAXRANK_source,data_source_x,relations,score.1,data_source_y,_merge
 SPECIES,BREVIROSTRIS,CHASMISTES, GENUS,VTO ontology,is_a,13.77,WEB corpus,both
 SPECIES,CYPRINELLUS,ICTIOBUS, GENUS,VTO ontology,is_a,13.51,WEB corpus,both
 SPECIES,CATOSTOMUS,CATOSTOMUS, GENUS,VTO ontology,is_a,12.57,WEB corpus,both
 SPECIES,MACROCHEILUS,CATOSTOMUS, GENUS,VTO ontology,is_a,11.33,WEB corpus,both
 SPECIES,COLUMBIANUS,CATOSTOMUS, GENUS,VTO ontology,is_a,10.89,WEB corpus,both
 SPECIES,COMMERSONII,CATOSTOMUS, GENUS,VTO ontology,is_a,11.51,WEB corpus,both
 SPECIES,CARPIO,CARPIODES, GENUS,VTO ontology,is_a,10.18,WEB corpus,both
 SPECIES,SUBBIFURCATA,ULVARIA, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,BOSQUIANUS,CHASMODES, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,QUINQUERADIATA,SERIOLA, GENUS,VTO ontology,is_a,13.41,WEB corpus,both
 SPECIES,SYMMETRICUS,TRACHURUS, GENUS,VTO ontology,is_a,13.0,WEB corpus,both
 SPECIES,HEXAPTERUS,AMMODYTES, GENUS,VTO ontology,is_a,13.12,WEB corpus,both
 SPECIES,JAPONICUS,LATEOLABRAX, GENUS,VTO ontology,is_a,12.72,WEB corpus,both
 SPECIES,AMBIGUA,MACQUARIA, GENUS,VTO ontology,is_a,12.06,WEB corpus,both
 SPECIES,AUSTRALASICA,MACQUARIA, GENUS,VTO ontology,is_a,13.82,WEB corpus,both
 SPECIES,AUSTRALIS,NANNOPERCA, GENUS,VTO ontology,is_a,13.52,WEB corpus,both
 SPECIES,TRUCHA,PERCICHTHYS, GENUS,VTO ontology,is_a,13.67,WEB corpus,both
 SPECIES,PEELII,MACCULLOCHELLA, GENUS,VTO ontology,is_a,13.58,WEB corpus,both
 SPECIES,NIGRUM,ETHEOSTOMA, GENUS,VTO ontology,is_a,12.06,WEB corpus,both
 SPECIES,EXILE,ETHEOSTOMA, GENUS,VTO ontology,is_a,12.25,WEB corpus,both
 SPECIES,ZONALE,ETHEOSTOMA, GENUS,VTO ontology,is_a,11.83,WEB corpus,both
 SPECIES,MACULATA,PERCINA, GENUS,VTO ontology,is_a,12.68,WEB corpus,both
 SPECIES,LUCIOPERCA,SANDER, GENUS,VTO ontology,is_a,13.31,WEB corpus,both
 SPECIES,CANADENSIS,SANDER, GENUS,VTO ontology,is_a,10.19,WEB corpus,both
 SPECIES,VITREUS,SANDER, GENUS,VTO ontology,is_a,12.95,WEB corpus,both
 SPECIES,CERNUUS,GYMNOCEPHALUS, GENUS,VTO ontology,is_a,13.77,WEB corpus,both
 SPECIES,FLAVESCENS,PERCA, GENUS,VTO ontology,is_a,12.4,WEB corpus,both
 SPECIES,FLUVIATILIS,PERCA, GENUS,VTO ontology,is_a,10.72,WEB corpus,both
 SPECIES,AURATA,SPARUS, GENUS,VTO ontology,is_a,12.65,WEB corpus,both
 SPECIES,DENTEX,DENTEX, GENUS,VTO ontology,is_a,13.77,WEB corpus,both
 SPECIES,CHUATSI,SINIPERCA, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,LABRAX,DICENTRARCHUS, GENUS,VTO ontology,is_a,11.775,WEB corpus,both
 SPECIES,SAXATILIS,MORONE, GENUS,VTO ontology,is_a,13.77,WEB corpus,both
 SPECIES,CHRYSOPS,MORONE, GENUS,VTO ontology,is_a,12.6,WEB corpus,both
 SPECIES,DOLOMIEU,MICROPTERUS, GENUS,VTO ontology,is_a,13.65,WEB corpus,both
 SPECIES,PUNCTULATUS,MICROPTERUS, GENUS,VTO ontology,is_a,11.15,WEB corpus,both
 SPECIES,NIGROMACULATUS,POMOXIS, GENUS,VTO ontology,is_a,13.57,WEB corpus,both
 SPECIES,ANNULARIS,POMOXIS, GENUS,VTO ontology,is_a,13.0,WEB corpus,both
 SPECIES,CYANELLUS,LEPOMIS, GENUS,VTO ontology,is_a,11.42,WEB corpus,both
 SPECIES,MACROCHIRUS,LEPOMIS, GENUS,VTO ontology,is_a,13.25,WEB corpus,both
 SPECIES,GIBBOSUS,LEPOMIS, GENUS,VTO ontology,is_a,13.04,WEB corpus,both
 SPECIES,MICROLOPHUS,LEPOMIS, GENUS,VTO ontology,is_a,9.94,WEB corpus,both
 SPECIES,RUPESTRIS,AMBLOPLITES, GENUS,VTO ontology,is_a,13.93,WEB corpus,both
 SPECIES,TRUTTA,ARRIPIS, GENUS,VTO ontology,is_a,10.04,WEB corpus,both
 SPECIES,NILOTICUS,LATES, GENUS,VTO ontology,is_a,13.06,WEB corpus,both
 SPECIES,CALCARIFER,LATES, GENUS,VTO ontology,is_a,12.9,WEB corpus,both
 SPECIES,BIDYANUS,BIDYANUS, GENUS,VTO ontology,is_a,13.98,WEB corpus,both
 SPECIES,STRIATA,CENTROPRISTIS, GENUS,VTO ontology,is_a,13.75,WEB corpus,both
 SPECIES,LEOPARDUS,PLECTROPOMUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,SQUAMOSISSIMUS,PLAGIOSCION, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,OCELLATUS,SCIAENOPS, GENUS,VTO ontology,is_a,13.83,WEB corpus,both
 SPECIES,UNDULATUS,MICROPOGONIAS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,NEBULOSUS,CYNOSCION, GENUS,VTO ontology,is_a,11.38,WEB corpus,both
 SPECIES,REGALIS,CYNOSCION, GENUS,VTO ontology,is_a,13.15,WEB corpus,both
 SPECIES,XANTHURUS,LEIOSTOMUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,GRUNNIENS,APLODINOTUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,SALTATRIX,POMATOMUS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,WHEELERI,PSEUDOPENTACEROS, GENUS,VTO ontology,is_a,13.99,WEB corpus,both
 SPECIES,NILOTICUS,OREOCHROMIS, GENUS,VTO ontology,is_a,12.79,WEB corpus,both
 SPECIES,AUREUS,OREOCHROMIS, GENUS,VTO ontology,is_a,12.13,WEB corpus,both
 SPECIES,MOSSAMBICUS,OREOCHROMIS, GENUS,VTO ontology,is_a,12.87,WEB corpus,both
 SPECIES,RENDALLI,TILAPIA, GENUS,VTO ontology,is_a,13.06,WEB corpus,both
 SPECIES,BOSC,GOBIOSOMA, GENUS,VTO ontology,is_a,12.95,WEB corpus,both
 SPECIES,MINUTUS,POMATOSCHISTUS, GENUS,VTO ontology,is_a,13.52,WEB corpus,both
 SPECIES,FLAVIMANUS,ACANTHOGOBIUS, GENUS,VTO ontology,is_a,13.92,WEB corpus,both
 SPECIES,MIRABILIS,GILLICHTHYS, GENUS,VTO ontology,is_a,13.62,WEB corpus,both
 SPECIES,MELANOSTOMUS,NEOGOBIUS, GENUS,VTO ontology,is_a,13.94,WEB corpus,both
