source,target,score.1,Hits,Score,data_source_x,TAXRANK_target,TAXRANK_source,data_source_y,relations,compare
DOROSOMA,PETENENSE,13.0,7.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ENCHELYOPUS,CIMBRIUS,13.67,2.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ENNEACANTHUS,GLORIOSUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ENOPHRYS,BISON,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ENTELURUS,AEQUOREUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ERIMONAX,MONACHUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ERIMYZON,OBLONGUS,13.41,4.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ERIMYZON,SUCETTA,13.12,3.0,13.12,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ESCHRICHTIUS,ROBUSTUS,13.19,2.0,13.19,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ESOCIDAE,ESOX,13.41,2.0,13.41,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
ESOX,MASQUINONGY,13.47,18.0,13.47,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETELIS,CARBUNCULUS,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ETHMIDIUM,MACULATUM,13.67,4.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
EUCYCLOGOBIUS,NEWBERRYI,13.99,4.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
EUDONTOMYZON,DANFORDI,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
EUMETOPIAS,JUBATUS,13.99,10.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
FAVONIGOBIUS,EXQUISITUS,13.99,3.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
FICEDULA,HYPOLEUCA,13.9,7.0,13.9,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
FRATERCULA,ARCTICA,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
FUNDULUS,HETEROCLITUS,13.69,33.0,13.69,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIAS,OLIDUS,13.26,28.0,13.26,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GALAXIELLA,NIGROSTRIATA,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GASTEROCHISMA,MELAMPUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GASTEROSTEUS,ACULEATUS,13.96,254.0,13.96,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GAVIA,IMMER,13.86,5.0,13.86,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GILA,ATRARIA,13.09,4.0,13.09,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GILLICHTHYS,MIRABILIS,13.62,5.0,13.62,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GLOSSAMIA,APRION,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GLOSSOGOBIUS,FLAVIPINNIS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GLOSSOGOBIUS,GIURIS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GLYPTOCEPHALUS,STELLERI,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GNATHONEMUS,PETERSII,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIESOX,STRUMOSUS,13.99,7.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GOBIIDAE,MUGILOGOBIUS,13.0,1.0,13.0,WEB corpus, GENUS, FAMILY,VTO ontology,is_a,both
GOBIOMORPHUS,COTIDIANUS,13.09,4.0,13.09,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GYMNAMMODYTES,SEMISQUAMATUS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GYMNOCEPHALUS,CERNUUS,13.77,55.0,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GYMNOCYPRIS,PRZEWALSKII,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
GYMNOTIFORMES,GYMNOTIDAE,13.99,1.0,13.99,WEB corpus, FAMILY, ORDER,VTO ontology,is_a,both
GYRINOPHILUS,PORPHYRITICUS,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HADROMOPHRYNE,NATALENSIS,13.41,2.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HAEMATOPUS,OSTRALEGUS,13.99,5.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HAEMULON,PLUMIERII,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HALIAEETUS,LEUCOCEPHALUS,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HALICHOERUS,GRYPUS,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HAPLOCHROMIS,BURTONI,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HAPLOPHRYNE,MOLLIS,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEMICHROMIS,LETOURNEUXI,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEMIGRAMMOCAPOETA,KEMALI,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEMIRAMPHUS,BRASILIENSIS,13.0,1.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HEPSETUS,ODOE,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HETEROBRANCHUS,LONGIFILIS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HETEROPNEUSTES,FOSSILIS,13.41,4.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HIODON,TERGISUS,13.77,3.0,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HIPPOCAMPUS,ERECTUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HIPPOGLOSSOIDES,PLATESSOIDES,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HIPPOGLOSSUS,HIPPOGLOSSUS,13.77,6.0,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HIRUNDO,RUSTICA,13.99,5.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HISTIOBRANCHUS,BATHYBIUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HISTRIONICUS,HISTRIONICUS,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HOPLIAS,MALABARICUS,13.73,5.0,13.73,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HOPLOBROTULA,ARMATA,13.67,2.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HOPLOSTERNUM,LITTORALE,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HOPLOSTETHUS,ATLANTICUS,13.83,4.0,13.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HORABAGRUS,BRACHYSOMA,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HUCHO,HUCHO,13.91,16.0,13.91,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYDROCYNUS,VITTATUS,13.67,2.0,13.67,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPENTELIUM,NIGRICANS,13.58,3.0,13.58,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPEROPLUS,IMMACULATUS,13.0,1.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPEROPLUS,LANCEOLATUS,13.0,1.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPERPROSOPON,ARGENTEUM,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPLEUROCHILUS,GEMINATUS,13.83,4.0,13.83,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPOPHTHALMICHTHYS,MOLITRIX,13.53,13.0,13.53,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPOPHTHALMUS,OREMACULATUS,13.77,15.0,13.77,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPORHAMPHUS,PICARTI,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPOSTOMUS,PLECOSTOMUS,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
HYPSOBLENNIUS,IONTHAS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICHTHYOMYZON,FOSSOR,13.06,6.0,13.06,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTALURUS,PUNCTATUS,13.19,58.0,13.19,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTIOBUS,BUBALUS,13.0,3.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ICTIOBUS,CYPRINELLUS,13.51,5.0,13.51,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ISTIOPHORUS,PLATYPTERUS,13.99,3.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
ISURUS,OXYRHINCHUS,13.99,2.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
JENYNSIA,MULTIDENTATA,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
KUHLIA,SANDVICENSIS,13.41,1.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
KURTUS,GULLIVERI,13.99,1.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LABEO,ROHITA,13.41,7.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LABIDESTHES,SICCULUS,13.99,3.0,13.99,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LAMNA,DITROPIS,13.0,1.0,13.0,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
LARIMICHTHYS,CROCEA,13.41,2.0,13.41,WEB corpus, SPECIES, GENUS,VTO ontology,is_a,both
