parent,child,hits,score,score.1,Hits,Score
BJOERKNA,FLUVIATILIS,1.0,6.51,6.51,1.0,6.51
BLICCA,BJOERKNA,14.0,13.48,13.48,14.0,13.48
BOSMINA,COREGONI,1.0,12.68,12.68,1.0,12.68
BOSMINA,INSECT,1.0,11.83,11.83,1.0,11.83
BOSMINA,LONGISPINA,3.0,13.58,13.58,3.0,13.58
BOSMINA,STICKLEBACK,1.0,11.41,11.41,1.0,11.41
BOSMINA,TRICHOPTERA,1.0,11.67,11.67,1.0,11.67
BRACHYMYSTAX,HUCHO,1.0,13.99,13.99,1.0,13.99
BRACHYRHAPHIS,RHABDOPHORA,1.0,13.41,13.41,1.0,13.41
BRAMA,ALBURNUS,1.0,9.83,9.83,1.0,9.83
BRAMA,BARBUS,1.0,8.96,8.96,1.0,8.96
BRAMA,BJOERKNA,1.0,10.09,10.09,1.0,10.09
BRAMA,RUTILUS,1.0,7.23,7.23,1.0,7.23
BREVOORTIA,TYRANNUS,2.0,13.99,13.99,2.0,13.99
BRUNNEUS,SPECIE,1.0,4.63,4.63,1.0,4.63
BRYCONAMERICUS,IHERINGI,1.0,12.68,12.68,1.0,12.68
BRYCONAMERICUS,IHERINGII,1.0,12.68,12.68,1.0,12.68
BRYCONAMERICUS,STRAMINEUS,2.0,12.19,12.19,2.0,12.19
BYTHOTREPHES,LONGIMANUS,8.0,13.83,13.83,8.0,13.83
CAENIDAE,BAETIDAE,2.0,13.67,13.67,2.0,13.67
CAENIDAE,DAPHNIDAE,1.0,13.0,13.0,1.0,13.0
CAIOLA,CALLES,1.0,13.99,13.99,1.0,13.99
CALANOIDA,CLADOCERA,1.0,12.19,12.19,1.0,12.19
CALLITRICHE,BATRACHIUM,1.0,13.99,13.99,1.0,13.99
CAMELLIA,JAPONICA,1.0,8.57,8.57,1.0,8.57
CAMPOSTOMA,ANOMALUM,16.0,13.99,13.99,16.0,13.99
CANADENSIS,ESOX,1.0,10.91,10.91,1.0,10.91
CANADENSIS,SANDER,1.0,11.09,11.09,1.0,11.09
CANADENSIS,VITREUS,1.0,11.3,11.3,1.0,11.3
CARASSIUS,AURATUS,24.0,13.11,13.11,24.0,13.11
CARASSIUS,CARASSIUS,22.0,13.14,13.14,22.0,13.14
CARASSIUS,CUVIERI,1.0,9.12,9.12,1.0,9.12
CARASSIUS,CYPRINIDAE,1.0,8.85,8.85,1.0,8.85
CARASSIUS,GIBELIO,9.0,12.12,12.12,9.0,12.12
CARP,CYPRINUS,1.0,12.68,12.68,1.0,12.68
CARPIODES,CYPRINUS,4.0,13.83,13.83,4.0,13.83
CARPIODES,VELIFER,1.0,12.41,12.41,1.0,12.41
CATARINA,CORREIA,1.0,13.99,13.99,1.0,13.99
CATONOTUS,ETHEOSTOMA,1.0,13.0,13.0,1.0,13.0
CATOSTOMIDAE,MORONIDAE,1.0,13.41,13.41,1.0,13.41
CATOSTOMIDAE,TELEOSTEI,1.0,11.99,11.99,1.0,11.99
CATOSTOMUS,CATOSTOMUS,10.0,12.54,12.54,10.0,12.54
CATOSTOMUS,CLARKII,3.0,10.6,10.6,3.0,10.6
CATOSTOMUS,COGNATUS,1.0,10.47,10.47,1.0,10.47
CATOSTOMUS,COMMERSONI,10.0,12.57,12.57,10.0,12.57
CATOSTOMUS,COMMERSONII,10.0,12.54,12.54,10.0,12.54
CATOSTOMUS,DICOBOLUS,1.0,9.5,9.5,1.0,9.5
CATOSTOMUS,DISCOBOLUS,3.0,11.03,11.03,3.0,11.03
CATOSTOMUS,INSIGNIS,1.0,9.5,9.5,1.0,9.5
CATOSTOMUS,LATIPINNIS,3.0,11.03,11.03,3.0,11.03
CATOSTOMUS,MACROCHEILUS,3.0,11.03,11.03,3.0,11.03
CENTRARCHIDAE,GIBBOSUS,2.0,9.89,9.89,2.0,9.89
CEPEDIANUM,BERYLLINA,1.0,11.99,11.99,1.0,11.99
CEPHALUS,LINNAEUS,1.0,7.89,7.89,1.0,7.89
CEPHALUS,RUTILUS,1.0,7.24,7.24,1.0,7.24
CERATOPHYLLUM,DEMERSUM,2.0,13.41,13.41,2.0,13.41
CERATOPHYLLUM,FONTINALIS,1.0,13.0,13.0,1.0,13.0
CERATOPOGONIDAE,LARVA,1.0,6.38,6.38,1.0,6.38
CERATOPOGONIDAE,TABANIDAE,1.0,13.41,13.41,1.0,13.41
CERIODAPHNIA,QUADRANGULA,1.0,13.41,13.41,1.0,13.41
CERIODAPHNIA,ROTIFERA,1.0,12.68,12.68,1.0,12.68
CERNUA,LUCIOPERCA,1.0,8.75,8.75,1.0,8.75
CERNUUS,ASPIUS,1.0,11.67,11.67,1.0,11.67
CERNUUS,MORHUA,1.0,9.95,9.95,1.0,9.95
CERVUS,ELAPHUS,1.0,13.99,13.99,1.0,13.99
CERYLE,ALCYON,1.0,13.99,13.99,1.0,13.99
CHAOBORUS,FLAVICANS,1.0,13.41,13.41,1.0,13.41
CHAOBORUS,LARVA,1.0,6.38,6.38,1.0,6.38
CHARACIDAE,CICHLIDAE,1.0,11.99,11.99,1.0,11.99
CHARACIDAE,OSTARIOPHYSI,1.0,12.41,12.41,1.0,12.41
CHARACIDAE,TETRAGONOPTERINAE,3.0,13.58,13.58,3.0,13.58
